# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q20-029   +3.998550e+00   +2.791887e-06 -6.541426e-02 +1.634495e-03 -1.976554e-02 +2.713584e-01 +1.916284e+03 -8.951803e+03 -3.909947e+05 +6.546316e+07 -2.559943e+11 +1.213577e+11 -2.707249e+13 -1.492310e+15 +5.174868e+18 -3.299128e+18   +2.466720e-06 -3.478603e-06 -5.812177e-03 +1.462126e-02 +4.640360e+00 -2.005024e+02 +1.455741e+04 -8.230243e+04 +4.756897e+07 +7.042781e+09 +1.416921e+11 -3.053349e+13 +1.066028e+15 -2.155400e+17 +1.852885e+19   
Q20-030   +3.998000e+00   +8.570483e-07 -6.555263e-02 -5.279492e-03 -3.185965e-02 -3.005413e+00 +1.997170e+03 +5.419797e+03 +4.992589e+05 +4.260483e+07 -2.614600e+11 -3.264700e+11 +4.392529e+13 -1.268742e+15 +5.087951e+18 +6.770288e+18   +7.518934e-07 -2.002146e-05 -5.681956e-04 +1.985844e-02 +2.548059e+00 -2.872906e+02 -8.305405e+03 -7.480468e+04 +5.200365e+07 +3.805658e+09 +2.794065e+10 -1.243020e+13 -9.207171e+13 -3.379175e+17 +5.425465e+18   
Q20-032   +3.998150e+00   +9.134657e-07 -6.552018e-02 -2.508123e-03 +1.286063e-02 +1.698940e+00 +1.913282e+03 +3.182995e+03 -1.573472e+06 -5.985618e+07 -2.600855e+11 -3.860591e+10 -6.841014e+13 -4.936718e+14 +5.419334e+18 +2.333222e+18   +2.820755e-06 -9.739510e-06 -7.930165e-03 +2.741641e-02 +5.291812e+00 -2.741718e+02 +1.286857e+04 -6.174108e+05 -8.287833e+07 +7.794918e+09 -1.317521e+11 -1.976529e+13 +2.657281e+15 -1.205970e+17 +9.184455e+18   
Q20-037   +3.997850e+00   +1.380651e-06 -6.560324e-02 +2.840952e-05 -9.899163e-02 -2.037528e-01 +2.027660e+03 -4.339618e+03 +1.577059e+05 +1.783858e+06 -2.546301e+11 -4.665998e+10 -1.176393e+12 -9.146021e+14 +5.276163e+18 -1.067299e+18   +2.279986e-08 -7.805978e-06 +1.342158e-03 +1.580672e-02 +1.064054e+00 -2.584309e+02 -8.961759e+03 +6.338917e+05 -6.000233e+06 +4.738304e+09 +3.252661e+11 -8.452263e+12 -9.051260e+13 -7.448561e+16 +1.088034e+19   
Q20-040   +3.997450e+00   +1.816380e-06 -6.530328e-02 -1.031184e-03 -1.135683e-01 +9.644381e-01 +2.059643e+03 +2.564410e+03 -1.485702e+05 +2.665299e+07 -2.478376e+11 +1.684360e+11 -8.198664e+12 -4.087268e+14 +5.279483e+18 +1.120787e+18   +2.949558e-06 -1.094684e-05 -8.082335e-03 +6.995009e-03 +6.720154e+00 -1.957001e+02 +9.828053e+03 +3.569473e+05 -9.334791e+07 +9.105100e+09 -5.002469e+11 -7.143034e+12 -2.117881e+15 -5.669487e+16 -1.741702e+18   
Q20-043   +3.997950e+00   +3.694038e-06 -6.602894e-02 +5.855989e-03 -6.410736e-02 +1.180346e+00 +1.963506e+03 -1.935337e+04 -9.467637e+05 +6.055356e+07 -2.564737e+11 -1.328499e+11 +1.694751e+13 -1.974741e+15 +5.298098e+18 -1.158016e+19   +4.746220e-07 -2.697960e-05 -8.002306e-05 +2.505472e-02 +1.009982e+00 -8.102570e+01 -4.026806e+03 +2.341949e+05 -2.343174e+07 +9.203950e+09 +9.559054e+10 -1.732074e+13 -2.183307e+15 -2.828402e+17 +4.726833e+18   
Q20-046   +3.998400e+00   +1.130332e-06 -6.589173e-02 -3.359546e-03 -7.750840e-02 -3.029467e+00 +2.053752e+03 -1.591532e+03 +5.328967e+05 -1.035760e+08 -2.585167e+11 -3.403521e+11 -5.544378e+13 -2.138865e+15 +5.068195e+18 -1.415517e+19   +4.098995e-06 -1.760144e-05 -9.471616e-03 +3.350868e-02 +5.087410e+00 -2.555872e+02 +7.832743e+03 -1.154350e+05 -7.658213e+07 -1.546343e+09 -4.189978e+11 +3.777969e+13 -4.209136e+15 -6.416279e+17 +2.283395e+19   
Q20-047   +3.997900e+00   +1.296958e-06 -6.593176e-02 -3.793789e-03 -5.368331e-02 -1.144963e+00 +2.130291e+03 +4.507672e+03 +4.933643e+04 +7.256650e+07 -2.543473e+11 -9.642767e+11 +1.749777e+13 -2.285288e+15 +4.763371e+18 -3.935699e+19   -2.278822e-06 -7.360422e-06 +1.064083e-02 +4.396846e-03 -6.583934e+00 -1.809446e+02 -3.103174e+04 -1.260566e+06 +7.468243e+07 -3.047005e+09 -2.555464e+11 -6.303262e+13 +3.587298e+15 -8.140226e+16 +4.343573e+18   
Q20-050   +3.998400e+00   +1.653671e-06 -6.616619e-02 -3.032045e-03 -5.196261e-02 -3.034941e+00 +2.139601e+03 +1.125348e+04 +2.250286e+05 +8.168680e+07 -2.605722e+11 -5.184661e+11 +2.814061e+13 -4.931745e+15 +4.940504e+18 -3.785187e+19   +3.011385e-06 -2.598990e-06 -8.318255e-03 +2.866424e-02 +4.859564e+00 -3.485159e+02 +2.909094e+04 +7.695481e+05 -1.973113e+07 +1.757181e+09 -1.119609e+11 -8.333959e+12 +1.365002e+15 -4.710247e+17 +1.139420e+19   
Q20-056   +3.997950e+00   +1.845605e-06 -6.639555e-02 -1.044823e-03 -6.644715e-02 -1.776995e+00 +2.098771e+03 -2.694143e+03 +4.866387e+05 +6.717400e+07 -2.538248e+11 +2.159501e+11 -5.458918e+12 -1.629192e+15 +5.175975e+18 +1.394455e+18   +1.380872e-06 -1.490349e-05 -2.046810e-03 +2.057825e-02 +3.068408e+00 -6.866769e+01 +9.869831e+03 +3.887410e+05 +3.669406e+07 +7.002879e+07 +1.449250e+11 +1.157097e+13 -1.314789e+15 +4.760530e+14 +1.194479e+19   
