########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	5562
file                           	Q20-132_Q_BOA_010.0A_180516_104149.dat
date                           	16/05/2018
hour                           	10:41:49
operator                       	Lidia Toledo
software_version               	v3.3
bench                          	1
temperature(C)                 	23.65
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+9.995550e+00
main_coil_current_std(A)       	+5.104178e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_08-05-2018_r=13mm_Q20
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282809
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  -4.763492e-06   	  +1.886478e-07   	  +8.813857e-06   	  +2.785009e-07   	  +1.001873e-05   	  +2.609098e-07   	  +0.000000e+00   	  +0.000000e+00   	  +6.261483e-04   	  +2.479725e-05   	  -1.158558e-03   	  +3.660821e-05   
2   	  -6.339675e-01   	  +1.655003e-05   	  -3.535745e-05   	  +1.686058e-05   	  +6.339675e-01   	  +1.655003e-05   	  +2.788585e-05   	  +1.329767e-05   	  +1.000000e+00   	  +3.691872e-05   	  +5.577199e-05   	  +2.659534e-05   
3   	  -3.512822e-02   	  +9.022031e-04   	  -2.762682e-02   	  +1.432368e-03   	  +4.469041e-02   	  +1.134442e-03   	  +0.000000e+00   	  +0.000000e+00   	  +6.649214e-04   	  +1.707728e-05   	  +5.229323e-04   	  +2.711246e-05   
4   	  -5.856443e-01   	  +1.385538e-01   	  -1.357857e-01   	  +1.488244e-01   	  +6.011797e-01   	  +1.390961e-01   	  +0.000000e+00   	  +0.000000e+00   	  +1.330236e-04   	  +3.147124e-05   	  +3.084240e-05   	  +3.380411e-05   
5   	  -2.060124e+01   	  +7.691632e+00   	  +2.971818e+01   	  +1.958393e+01   	  +3.616050e+01   	  +1.668075e+01   	  +0.000000e+00   	  +0.000000e+00   	  +5.615268e-05   	  +2.096502e-05   	  -8.100203e-05   	  +5.337974e-05   
6   	  +1.987090e+04   	  +9.241350e+02   	  -1.849078e+03   	  +1.848788e+03   	  +1.995675e+04   	  +9.359685e+02   	  +0.000000e+00   	  +0.000000e+00   	  -6.499430e-04   	  +3.022689e-05   	  +6.048121e-05   	  +6.047072e-05   
7   	  +7.196052e+04   	  +9.530861e+04   	  +2.299806e+04   	  +1.023819e+05   	  +7.554619e+04   	  +9.598604e+04   	  +0.000000e+00   	  +0.000000e+00   	  -2.824415e-05   	  +3.740859e-05   	  -9.026535e-06   	  +4.018486e-05   
8   	  -1.282124e+06   	  +1.139930e+07   	  +2.661801e+06   	  +1.629349e+07   	  +2.954493e+06   	  +1.549046e+07   	  +0.000000e+00   	  +0.000000e+00   	  +6.038870e-06   	  +5.369064e-05   	  -1.253777e-05   	  +7.674226e-05   
9   	  -2.021640e+08   	  +6.597351e+08   	  +1.416251e+08   	  +1.001819e+09   	  +2.468359e+08   	  +7.889018e+08   	  +0.000000e+00   	  +0.000000e+00   	  +1.142589e-05   	  +3.728819e-05   	  -8.004691e-06   	  +5.662273e-05   
10  	  -2.473013e+12   	  +7.011549e+10   	  +5.131057e+10   	  +9.970420e+10   	  +2.473545e+12   	  +7.013090e+10   	  +0.000000e+00   	  +0.000000e+00   	  +1.677295e-03   	  +4.755510e-05   	  -3.480029e-05   	  +6.762331e-05   
11  	  -4.908227e+12   	  +5.550899e+12   	  +8.562037e+11   	  +6.202018e+12   	  +4.982346e+12   	  +5.571218e+12   	  +0.000000e+00   	  +0.000000e+00   	  +3.994801e-05   	  +4.517805e-05   	  -6.969122e-06   	  +5.047743e-05   
12  	  +5.606013e+13   	  +5.019200e+14   	  +1.066950e+14   	  +3.976290e+14   	  +1.205261e+14   	  +4.223803e+14   	  +0.000000e+00   	  +0.000000e+00   	  -5.474959e-06   	  +4.902075e-05   	  -1.042098e-05   	  +3.883502e-05   
13  	  -2.737649e+16   	  +3.903921e+16   	  -6.526662e+15   	  +2.635601e+16   	  +2.814373e+16   	  +3.846367e+16   	  +0.000000e+00   	  +0.000000e+00   	  +3.208526e-05   	  +4.575386e-05   	  +7.649213e-06   	  +3.088918e-05   
14  	  +5.161567e+19   	  +2.749139e+18   	  -1.791485e+18   	  +4.010981e+18   	  +5.164675e+19   	  +2.751005e+18   	  +0.000000e+00   	  +0.000000e+00   	  -7.259216e-04   	  +3.866381e-05   	  +2.519550e-05   	  +5.641032e-05   
15  	  -6.360301e+19   	  +2.824593e+20   	  +9.240725e+19   	  +3.260960e+20   	  +1.121804e+20   	  +3.127335e+20   	  +0.000000e+00   	  +0.000000e+00   	  +1.073429e-05   	  +4.766999e-05   	  -1.559545e-05   	  +5.503445e-05   

magnetic_center_x(um) 	7.514
magnetic_center_y(um) 	-13.903


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.829432560247e-06	2.748228098426e-06	2.866727982109e-06	2.749398845481e-06	2.835432042048e-06	2.705066890485e-06	2.800964921335e-06	2.777642748697e-06	2.793927251332e-06	2.780048362183e-06
8.065660040302e-06	8.083779903245e-06	8.143198101607e-06	8.07265041658e-06	7.94049083197e-06	8.28725478641e-06	8.052174962359e-06	8.188309948309e-06	8.117751349346e-06	8.215279194701e-06
1.34006704684e-05	1.359104498988e-05	1.343883650406e-05	1.355856875307e-05	1.339812570222e-05	1.350877755613e-05	1.344478005194e-05	1.348236582999e-05	1.33642779474e-05	1.352666458843e-05
1.8460681531e-05	1.841489029175e-05	1.836999945226e-05	1.825001345424e-05	1.865507147158e-05	1.826725201681e-05	1.839911601564e-05	1.839841024776e-05	1.836742922023e-05	1.838514253905e-05
2.334454256925e-05	2.314137054782e-05	2.326284993615e-05	2.335785757168e-05	2.312439028174e-05	2.32263791986e-05	2.33059781749e-05	2.331465293537e-05	2.327884067199e-05	2.321459396626e-05
2.794208921841e-05	2.790352300508e-05	2.790538383124e-05	2.793389649014e-05	2.778305497486e-05	2.792045961542e-05	2.798311652441e-05	2.795169166347e-05	2.792190571199e-05	2.79411815427e-05
3.193417433067e-05	3.214495518478e-05	3.205040411558e-05	3.19317841786e-05	3.218259007554e-05	3.21961233567e-05	3.208171983715e-05	3.205097527825e-05	3.211368675693e-05	3.200821083738e-05
3.598357216106e-05	3.605769961723e-05	3.598209514166e-05	3.610545536503e-05	3.610055864556e-05	3.596767419367e-05	3.599586125347e-05	3.597621980589e-05	3.596343958634e-05	3.599962292355e-05
3.942256444134e-05	3.927672514692e-05	3.940307578887e-05	3.935916174669e-05	3.927039142582e-05	3.935307177017e-05	3.941297836718e-05	3.935077984352e-05	3.939109956264e-05	3.93222362618e-05
4.241907299729e-05	4.237057510181e-05	4.236874156049e-05	4.241979331709e-05	4.237109533278e-05	4.238935434842e-05	4.239420741214e-05	4.237720713718e-05	4.246637399774e-05	4.241912756697e-05
4.500575232669e-05	4.51296546089e-05	4.49696672149e-05	4.496917244978e-05	4.508796700975e-05	4.49301332992e-05	4.497083864408e-05	4.497011832427e-05	4.498136695474e-05	4.497576810536e-05
4.743094177684e-05	4.731299122795e-05	4.742661622004e-05	4.737502240459e-05	4.738591451314e-05	4.745096157421e-05	4.73724285257e-05	4.73591426271e-05	4.736174378195e-05	4.740835356642e-05
4.937865742249e-05	4.939883729094e-05	4.940194412484e-05	4.949465437676e-05	4.938427082379e-05	4.948576315655e-05	4.943393287249e-05	4.945122782374e-05	4.942647865391e-05	4.94557825732e-05
5.033540583099e-05	5.037283335696e-05	5.03259288962e-05	5.025485370425e-05	5.035581853008e-05	5.023885387345e-05	5.030789907323e-05	5.030513784732e-05	5.040483301855e-05	5.032580156694e-05
5.079400216346e-05	5.080082337372e-05	5.078959293314e-05	5.079090988147e-05	5.081644121674e-05	5.076363959233e-05	5.078900358058e-05	5.07917284267e-05	5.07479562657e-05	5.077856621938e-05
5.091222192277e-05	5.09045603394e-05	5.095752567286e-05	5.097936445964e-05	5.087765384815e-05	5.101353599457e-05	5.093041181681e-05	5.098022302263e-05	5.089588375995e-05	5.093492654851e-05
5.052492633695e-05	5.0535560149e-05	5.052109554526e-05	5.049902392784e-05	5.05481948494e-05	5.049894753029e-05	5.051766129327e-05	5.045816942584e-05	5.059943214292e-05	5.051389234723e-05
4.923523738398e-05	4.92615836265e-05	4.919303682982e-05	4.915972749586e-05	4.927584814141e-05	4.91481332574e-05	4.921631989419e-05	4.918429840473e-05	4.921989966533e-05	4.921924119117e-05
4.724384052679e-05	4.716219336842e-05	4.728756539407e-05	4.732379238703e-05	4.718406125903e-05	4.728106068796e-05	4.724557948066e-05	4.726481711259e-05	4.715755494544e-05	4.72830288345e-05
4.510831422522e-05	4.511819133768e-05	4.512797750067e-05	4.508606070885e-05	4.506260665949e-05	4.511682709563e-05	4.507328776526e-05	4.504960452323e-05	4.51351479569e-05	4.505347533268e-05
4.230569902575e-05	4.23996389145e-05	4.224521035212e-05	4.221525159664e-05	4.2372259486e-05	4.234017251292e-05	4.22817429353e-05	4.232343781041e-05	4.230164995533e-05	4.236156382831e-05
3.925796772819e-05	3.922042014892e-05	3.928157821065e-05	3.936330540455e-05	3.933501648135e-05	3.932214531233e-05	3.93627997255e-05	3.937531437259e-05	3.930003731512e-05	3.932351319236e-05
3.585094600567e-05	3.579879194149e-05	3.584989462979e-05	3.587311584852e-05	3.569437831175e-05	3.589181142161e-05	3.58263750968e-05	3.581997953006e-05	3.590917185647e-05	3.584303703974e-05
3.213696254534e-05	3.214971002308e-05	3.20518083754e-05	3.215821561753e-05	3.224663669243e-05	3.196072066203e-05	3.203953747288e-05	3.21194420394e-05	3.202203879482e-05	3.200566061423e-05
2.794328247546e-05	2.800587208185e-05	2.789130667225e-05	2.777089139272e-05	2.797666093102e-05	2.785673859762e-05	2.788798155962e-05	2.790491089399e-05	2.778113594104e-05	2.787591802189e-05
2.303628207301e-05	2.303615838173e-05	2.327375477762e-05	2.31877729675e-05	2.304493682459e-05	2.31908979913e-05	2.311104617547e-05	2.32219335885e-05	2.320160274394e-05	2.311577009095e-05
1.838074604166e-05	1.834253089328e-05	1.831608824432e-05	1.85121098184e-05	1.831313602452e-05	1.8467890186e-05	1.841239645728e-05	1.838778734964e-05	1.833445094235e-05	1.83514021046e-05
1.339238770015e-05	1.349281137664e-05	1.339897971775e-05	1.312779295404e-05	1.340138442174e-05	1.33692046802e-05	1.328793678113e-05	1.32829973154e-05	1.335292199656e-05	1.330807845079e-05
8.160911420418e-06	8.167093255906e-06	8.225526471506e-06	8.288880962937e-06	8.213027285819e-06	8.203936886275e-06	8.153824637702e-06	8.165429790097e-06	8.148923370754e-06	8.275900654553e-06
2.838845375663e-06	2.691332156246e-06	2.885769845307e-06	2.862264182113e-06	2.7938083349e-06	2.764604232652e-06	2.945530013676e-06	2.837679176082e-06	2.95978406939e-06	2.861462462533e-06
-2.386010010014e-06	-2.368652531004e-06	-2.545458755776e-06	-2.492569137758e-06	-2.380671503488e-06	-2.480424427631e-06	-2.383885885138e-06	-2.492227622497e-06	-2.404671249678e-06	-2.288096766279e-06
