########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	4615
file                           	Q20-144_Q_BOA_090.0A_180509_160532.dat
date                           	09/05/2018
hour                           	16:05:32
operator                       	Lucas Balthazar
software_version               	v3.3
bench                          	1
temperature(C)                 	23.3
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+8.999725e+01
main_coil_current_std(A)       	+5.501196e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_08-05-2018_r=13mm_Q20
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282809
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +5.525643e-05   	  +3.451470e-07   	  +1.885653e-05   	  +7.396326e-07   	  +5.838529e-05   	  +4.046762e-07   	  +0.000000e+00   	  +0.000000e+00   	  -8.666712e-04   	  +5.413469e-06   	  -2.957558e-04   	  +1.160079e-05   
2   	  -5.313091e+00   	  +1.694051e-05   	  +1.442255e-04   	  +3.726184e-05   	  +5.313091e+00   	  +1.694051e-05   	  -1.357266e-05   	  +3.506607e-06   	  +1.000000e+00   	  +4.509146e-06   	  -2.714532e-05   	  +7.013213e-06   
3   	  -1.745303e-01   	  +2.663410e-03   	  -6.258795e-02   	  +4.656593e-03   	  +1.854133e-01   	  +2.959095e-03   	  +0.000000e+00   	  +0.000000e+00   	  +3.941894e-04   	  +6.015505e-06   	  +1.413594e-04   	  +1.051725e-05   
4   	  -2.088850e+00   	  +2.334912e-01   	  +1.143297e+00   	  +2.960007e-01   	  +2.381265e+00   	  +2.492947e-01   	  +0.000000e+00   	  +0.000000e+00   	  +5.661381e-05   	  +6.328282e-06   	  -3.098662e-05   	  +8.022468e-06   
5   	  -2.509162e+02   	  +3.193544e+01   	  -4.532022e+01   	  +2.912373e+01   	  +2.549762e+02   	  +3.185040e+01   	  +0.000000e+00   	  +0.000000e+00   	  +8.160656e-05   	  +1.038650e-05   	  +1.473969e-05   	  +9.472038e-06   
6   	  +2.054457e+05   	  +4.231795e+02   	  -3.369375e+04   	  +3.644920e+03   	  +2.081903e+05   	  +7.227516e+02   	  +0.000000e+00   	  +0.000000e+00   	  -8.018160e-04   	  +1.651592e-06   	  +1.315004e-04   	  +1.422544e-05   
7   	  +1.013554e+05   	  +1.431872e+05   	  -4.333170e+04   	  +2.997022e+05   	  +1.102296e+05   	  +1.766762e+05   	  +0.000000e+00   	  +0.000000e+00   	  -4.746857e-06   	  +6.705996e-06   	  +2.029379e-06   	  +1.403618e-05   
8   	  +1.269913e+07   	  +1.518634e+07   	  -5.352179e+06   	  +1.647798e+07   	  +1.378092e+07   	  +1.538811e+07   	  +0.000000e+00   	  +0.000000e+00   	  -7.136961e-06   	  +8.534798e-06   	  +3.007958e-06   	  +9.260710e-06   
9   	  +5.152138e+09   	  +2.368234e+09   	  +1.151024e+09   	  +1.505153e+09   	  +5.279146e+09   	  +2.334440e+09   	  +0.000000e+00   	  +0.000000e+00   	  -3.474630e-05   	  +1.597151e-05   	  -7.762584e-06   	  +1.015085e-05   
10  	  -2.076490e+13   	  +1.026920e+11   	  +1.089175e+12   	  +1.073369e+11   	  +2.079344e+13   	  +1.027051e+11   	  +0.000000e+00   	  +0.000000e+00   	  +1.680477e-03   	  +8.310737e-06   	  -8.814552e-05   	  +8.686639e-06   
11  	  -3.198063e+12   	  +7.851573e+12   	  +1.196816e+13   	  +1.938481e+13   	  +1.238808e+13   	  +1.883709e+13   	  +0.000000e+00   	  +0.000000e+00   	  +3.105790e-06   	  +7.625014e-06   	  -1.162281e-05   	  +1.882545e-05   
12  	  -5.636103e+14   	  +1.110801e+15   	  +5.917179e+13   	  +7.228530e+14   	  +5.667079e+14   	  +1.107305e+15   	  +0.000000e+00   	  +0.000000e+00   	  +6.568142e-06   	  +1.294499e-05   	  -6.895745e-07   	  +8.423939e-06   
13  	  -1.390294e+17   	  +8.800988e+16   	  -2.652182e+16   	  +8.893798e+16   	  +1.415365e+17   	  +8.804263e+16   	  +0.000000e+00   	  +0.000000e+00   	  +1.944251e-05   	  +1.230773e-05   	  +3.708963e-06   	  +1.243752e-05   
14  	  +4.218569e+20   	  +7.651867e+18   	  -2.440849e+19   	  +6.746399e+18   	  +4.225624e+20   	  +7.649024e+18   	  +0.000000e+00   	  +0.000000e+00   	  -7.079342e-04   	  +1.284089e-05   	  +4.096082e-05   	  +1.132139e-05   
15  	  -4.541960e+18   	  +5.842175e+20   	  -3.910231e+20   	  +6.761707e+20   	  +3.910495e+20   	  +6.761591e+20   	  +0.000000e+00   	  +0.000000e+00   	  +9.144256e-08   	  +1.176477e-05   	  +7.874290e-06   	  +1.361649e-05   

magnetic_center_x(um) 	-10.4
magnetic_center_y(um) 	-3.549


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.211580977018e-05	2.229532765341e-05	2.25031762966e-05	2.233142186014e-05	2.259771463287e-05	2.258734275529e-05	2.212865365436e-05	2.254955143144e-05	2.256281732116e-05	2.21824120672e-05
6.60562509438e-05	6.66373380227e-05	6.630956340814e-05	6.659347127425e-05	6.613582081627e-05	6.637638580287e-05	6.627708353335e-05	6.632591976086e-05	6.631678115809e-05	6.664600368822e-05
0.0001102985188481	0.0001101620291593	0.0001101887901314	0.0001103208196582	0.0001101025773096	0.0001099211949622	0.000110260603833	0.0001103651375161	0.0001099893197534	0.0001097312269849
0.000152990440256	0.0001526674313936	0.0001526617415948	0.0001523633254692	0.0001528469583718	0.0001526667620055	0.000152877473738	0.0001525152620161	0.0001530039735371	0.0001527811691631
0.0001934226165758	0.0001931877486641	0.0001931587758008	0.0001933082821779	0.0001931929873535	0.0001934106257977	0.0001932010927703	0.0001930566795636	0.0001930917787831	0.0001936147309607
0.0002312121941941	0.0002315598103451	0.0002318862243555	0.0002317376056453	0.0002316530881217	0.0002316682948731	0.0002313683799002	0.0002319967170479	0.0002314927405678	0.0002313852601219
0.0002666309592314	0.0002670660614967	0.0002666352957021	0.00026685607736	0.0002667572989594	0.0002667914377525	0.0002669898385648	0.0002666188229341	0.0002670976100489	0.000266808870947
0.0003004611935467	0.000299750798149	0.0002999050775543	0.000299680075841	0.0002998468116857	0.0002996029215865	0.0003000857250299	0.00029989448376	0.0002997841802426	0.0002999519347213
0.0003276730421931	0.0003277906798758	0.0003276667848695	0.000327830115566	0.0003279272059444	0.0003278677759226	0.0003276441420894	0.0003278407093603	0.0003277042414993	0.0003276514762547
0.0003531227703206	0.0003533268754836	0.0003534604329616	0.0003534665156621	0.0003531259426381	0.0003536149160936	0.0003532535338309	0.000353258481482	0.0003535417781677	0.0003535973082762
0.0003755211364478	0.0003754039062187	0.0003753813507501	0.0003752561751753	0.0003755469515454	0.0003752973861992	0.0003755238140002	0.0003755037323572	0.0003751863259822	0.0003753805940505
0.0003951239341404	0.0003952025144827	0.0003949701495003	0.0003952310071327	0.0003949842357542	0.0003948959347326	0.0003951397084165	0.0003950371756218	0.0003949270176236	0.000394970033085
0.0004116978379898	0.000411602872191	0.0004119048535358	0.0004118772631045	0.0004118464130443	0.0004119032237213	0.0004118148353882	0.0004118763899896	0.0004121914098505	0.000411783636082
0.0004194916691631	0.0004198741808068	0.0004195889341645	0.0004194788343739	0.000419585063355	0.0004193567438051	0.0004199368413538	0.0004194210341666	0.0004199987160973	0.0004198511305731
0.0004246590833645	0.0004244195006322	0.0004241492715664	0.0004254116211087	0.0004244534939062	0.0004244906303938	0.0004248493060004	0.000424576952355	0.0004248929617461	0.0004236737149768
0.00042443498387	0.0004242662689649	0.0004259234119672	0.0004230162303429	0.0004244745068718	0.0004249838530086	0.000423067889642	0.0004247241595294	0.0004230921913404	0.0004251622012816
0.0004218636604492	0.0004214710206725	0.0004198873066343	0.0004215019580442	0.0004217625537422	0.0004211136838421	0.0004220752161928	0.0004212783824187	0.0004218299873173	0.0004216031229589
0.0004118458600715	0.000411674118368	0.000411685789004	0.0004121273814235	0.000411251996411	0.00041161608533	0.0004118773795199	0.000411282031564	0.0004115607298445	0.0004112851456739
0.0003929371305276	0.0003940430760849	0.0003940876631532	0.000394125294406	0.0003936599532608	0.00039361717063	0.0003935725835618	0.0003941847244278	0.0003938826557714	0.0003937489236705
0.0003757023368962	0.000375034607714	0.0003758406674024	0.0003748911258299	0.0003756289661396	0.0003758261736948	0.0003752076881938	0.0003752669726964	0.0003756679361686	0.0003756669175345
0.0003530844114721	0.0003534301649779	0.0003528889501467	0.0003529420355335	0.000353491603164	0.0003530798421707	0.000353166135028	0.0003533519629855	0.0003529231471475	0.0003531896800268
0.0003283528785687	0.000327974994434	0.0003276363422628	0.0003284573322162	0.0003277283685748	0.0003279131487943	0.0003284146951046	0.0003277380019426	0.0003279813972767	0.0003279798838776
0.0002980158024002	0.0002980624267366	0.0002987522748299	0.0002982115547638	0.0002979414712172	0.0002983539307024	0.0002982942387462	0.0002983419108205	0.0002983780868817	0.0002983224694617
0.0002661844191607	0.0002669670211617	0.0002660827594809	0.0002667205408216	0.0002668613451533	0.0002662432671059	0.0002662327897269	0.0002668734232429	0.0002663904451765	0.0002663953055162
0.0002324451779714	0.0002315722085768	0.0002321239444427	0.0002314430312254	0.0002319402992725	0.0002320862549823	0.0002319822669961	0.00023155999952	0.0002322133659618	0.0002320093626622
0.0001920090435306	0.0001922490919242	0.0001924336393131	0.0001923123054439	0.0001922011142597	0.0001922972587636	0.0001921185612446	0.0001923249656102	0.0001920214417623	0.0001921357325045
0.0001517696946394	0.000151752246893	0.0001512659800937	0.0001519869983895	0.0001516108750366	0.0001516523334431	0.0001518287172075	0.0001517664204584	0.0001516683987575	0.0001517466007499
0.0001094534454751	0.0001094070539693	0.0001097077692975	0.000109184125904	0.0001092008751584	0.0001093860555557	0.0001096472115023	0.000109275271825	0.000109594053356	0.0001095337138395
6.588731048396e-05	6.648626731476e-05	6.609799311263e-05	6.61744052195e-05	6.646297697444e-05	6.607508112211e-05	6.581263005501e-05	6.654578464804e-05	6.599749031011e-05	6.604474037886e-05
2.242360278615e-05	2.182466960221e-05	2.211814717157e-05	2.21241498366e-05	2.222732837254e-05	2.225210118922e-05	2.215894164692e-05	2.179594775953e-05	2.242535447294e-05	2.22564831347e-05
-2.20753809117e-05	-2.240268258902e-05	-2.209220474469e-05	-2.213161496911e-05	-2.255021536257e-05	-2.216736356786e-05	-2.205170312664e-05	-2.221612157882e-05	-2.253565980936e-05	-2.233445411548e-05
-6.729015149176e-05	-6.666510307696e-05	-6.729516462656e-05	-6.700855738018e-05	-6.700305675622e-05	-6.724040576955e-05	-6.715138442814e-05	-6.692720489809e-05	-6.70648587402e-05	-6.716581265209e-05
-0.0001103093163692	-0.0001104667826439	-0.0001102382375393	-0.0001104716138798	-0.0001102857859223	-0.0001101617817767	-0.0001102638343582	-0.0001103799440898	-0.000110003973532	-0.0001099992732634
-0.0001520857622381	-0.0001519656652818	-0.000151935761096	-0.0001520729420008	-0.0001518817734905	-0.0001520556688774	-0.0001521183439763	-0.0001517322089057	-0.0001521914819023	-0.000152257096488
