########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	5579
file                           	Q20-122_Q_BOA_090.0A_180516_111317.dat
date                           	16/05/2018
hour                           	11:13:17
operator                       	Lucas Balthazar
software_version               	v3.3
bench                          	1
temperature(C)                 	23.63
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+8.999785e+01
main_coil_current_std(A)       	+5.871429e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_08-05-2018_r=13mm_Q20
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282809
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +2.997641e-05   	  +2.210930e-07   	  +2.146674e-05   	  +2.664570e-07   	  +3.687012e-05   	  +2.374438e-07   	  +0.000000e+00   	  +0.000000e+00   	  -4.698113e-04   	  +3.465124e-06   	  -3.364417e-04   	  +4.176100e-06   
2   	  -5.317101e+00   	  +1.706217e-05   	  +2.532362e-04   	  +3.503757e-05   	  +5.317101e+00   	  +1.706217e-05   	  -2.381337e-05   	  +3.294800e-06   	  +1.000000e+00   	  +4.538102e-06   	  -4.762673e-05   	  +6.589600e-06   
3   	  -1.134746e-01   	  +1.219211e-03   	  -5.638223e-02   	  +2.778980e-03   	  +1.267101e-01   	  +1.649620e-03   	  +0.000000e+00   	  +0.000000e+00   	  +2.560973e-04   	  +2.751600e-06   	  +1.272473e-04   	  +6.271792e-06   
4   	  -2.406573e+00   	  +1.089768e-01   	  +2.006371e+00   	  +1.642670e-01   	  +3.133228e+00   	  +1.344280e-01   	  +0.000000e+00   	  +0.000000e+00   	  +6.517584e-05   	  +2.951357e-06   	  -5.433738e-05   	  +4.448747e-06   
5   	  -7.244634e+01   	  +1.229970e+01   	  +2.517546e+01   	  +2.297884e+01   	  +7.669600e+01   	  +1.385194e+01   	  +0.000000e+00   	  +0.000000e+00   	  +2.354427e-05   	  +3.997270e-06   	  -8.181750e-06   	  +7.467871e-06   
6   	  +2.059064e+05   	  +9.873232e+02   	  -1.404351e+04   	  +8.026426e+02   	  +2.063848e+05   	  +9.865477e+02   	  +0.000000e+00   	  +0.000000e+00   	  -8.030080e-04   	  +3.850432e-06   	  +5.476787e-05   	  +3.130201e-06   
7   	  -6.609268e+04   	  +9.963084e+04   	  +1.715134e+05   	  +1.336281e+05   	  +1.838072e+05   	  +1.297349e+05   	  +0.000000e+00   	  +0.000000e+00   	  +3.093025e-06   	  +4.662567e-06   	  -8.026554e-06   	  +6.253585e-06   
8   	  +6.021356e+06   	  +6.600272e+06   	  -3.813657e+06   	  +6.610601e+06   	  +7.127462e+06   	  +6.603231e+06   	  +0.000000e+00   	  +0.000000e+00   	  -3.381479e-06   	  +3.706589e-06   	  +2.141680e-06   	  +3.712389e-06   
9   	  +1.449671e+09   	  +9.408630e+08   	  +4.547520e+08   	  +5.769657e+08   	  +1.519324e+09   	  +9.141886e+08   	  +0.000000e+00   	  +0.000000e+00   	  -9.769297e-06   	  +6.340451e-06   	  -3.064559e-06   	  +3.888157e-06   
10  	  -2.065116e+13   	  +5.649336e+10   	  +3.097816e+11   	  +9.731138e+10   	  +2.065349e+13   	  +5.650586e+10   	  +0.000000e+00   	  +0.000000e+00   	  +1.670012e-03   	  +4.568491e-06   	  -2.505131e-05   	  +7.869346e-06   
11  	  +2.006798e+12   	  +5.332852e+12   	  -6.013067e+12   	  +5.360089e+12   	  +6.339102e+12   	  +5.357366e+12   	  +0.000000e+00   	  +0.000000e+00   	  -1.947418e-06   	  +5.175065e-06   	  +5.835148e-06   	  +5.201496e-06   
12  	  -2.709134e+14   	  +4.500342e+14   	  -2.387733e+14   	  +6.235675e+14   	  +3.611188e+14   	  +5.328996e+14   	  +0.000000e+00   	  +0.000000e+00   	  +3.154761e-06   	  +5.240624e-06   	  +2.780508e-06   	  +7.261411e-06   
13  	  -1.130018e+16   	  +5.175995e+16   	  -3.031247e+16   	  +3.154372e+16   	  +3.235027e+16   	  +3.464810e+16   	  +0.000000e+00   	  +0.000000e+00   	  +1.579086e-06   	  +7.232902e-06   	  +4.235849e-06   	  +4.407899e-06   
14  	  +4.143768e+20   	  +2.377861e+18   	  -3.869020e+18   	  +2.707115e+18   	  +4.143949e+20   	  +2.377892e+18   	  +0.000000e+00   	  +0.000000e+00   	  -6.948570e-04   	  +3.987370e-06   	  +6.487851e-06   	  +4.539486e-06   
15  	  +7.285011e+19   	  +2.641118e+20   	  +1.734264e+20   	  +3.047361e+20   	  +1.881060e+20   	  +2.989950e+20   	  +0.000000e+00   	  +0.000000e+00   	  -1.465915e-06   	  +5.314581e-06   	  -3.489758e-06   	  +6.132042e-06   

magnetic_center_x(um) 	5.638
magnetic_center_y(um) 	4.037


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.255386789329e-05	2.232802762592e-05	2.239112836833e-05	2.257670348627e-05	2.231849430245e-05	2.238995330117e-05	2.256098014186e-05	2.264223621751e-05	2.236809450551e-05	2.256531479361e-05
6.677891360596e-05	6.678514182568e-05	6.690580630675e-05	6.670963921351e-05	6.693073373754e-05	6.696204945911e-05	6.681094964733e-05	6.662970554316e-05	6.68050852255e-05	6.69370565447e-05
0.0001103184840758	0.0001101981761167	0.0001101884990931	0.0001101393791032	0.0001100674780901	0.0001100734079955	0.0001100440131268	0.0001101750895032	0.0001101971647586	0.0001100115041481
0.0001519899815321	0.0001520602818346	0.0001520058722235	0.0001521892118035	0.0001522345701233	0.0001521957747173	0.0001520547521068	0.000152099353727	0.0001521053345641	0.0001520787918707
0.0001932363084052	0.0001934825268108	0.0001934531028382	0.0001934462488862	0.0001933028106578	0.0001933063467732	0.0001936118205776	0.0001936081243912	0.0001933737366926	0.0001935546461027
0.0002325412351638	0.0002321589854546	0.0002322446234757	0.0002321198408026	0.0002322298241779	0.0002322911313968	0.000232105361647	0.0002319946943317	0.0002323141670786	0.0002322119107703
0.0002666819782462	0.0002667346852832	0.0002666935324669	0.0002667705412023	0.0002668015658855	0.0002667816006579	0.0002666474319994	0.0002668245288078	0.0002666766813491	0.0002665969659574
0.0002995798713528	0.0002998023410328	0.0002998190175276	0.0002998057170771	0.000299776555039	0.0002996862167493	0.000300044514006	0.0002997891569976	0.0002997254487127	0.0002998796699103
0.0003283266269136	0.0003280795062892	0.0003282086981926	0.0003281821263954	0.0003282208053861	0.0003283350961283	0.0003281835815869	0.0003282481338829	0.0003283566911705	0.0003282565448899
0.0003537871525623	0.0003537701850291	0.0003535650321282	0.0003536181757227	0.0003536567674018	0.000353586365236	0.0003534507995937	0.000353596318746	0.0003536751319189	0.0003534997522365
0.0003754615026992	0.0003756784426514	0.0003756544319913	0.0003756160731427	0.0003755687794182	0.0003756157821044	0.0003757939557545	0.0003755892685149	0.000375336385332	0.0003756913065445
0.0003955122083426	0.0003953714622185	0.0003956909058616	0.0003956895379815	0.0003955427382607	0.0003955919819418	0.000395517621655	0.0003955717838835	0.0003955946885981	0.0003956618020311
0.0004125779669266	0.0004123800608795	0.0004123254329897	0.0004124756669626	0.0004124453989789	0.00041233637603	0.000412388559198	0.0004123627732042	0.0004125394916628	0.0004121231613681
0.0004202106792945	0.0004202256386634	0.0004201155388728	0.0004199474060442	0.0004201396950521	0.0004202616983093	0.0004202430718578	0.0004202363197692	0.0004201497940812	0.0004201210686006
0.0004244378651492	0.0004247599863447	0.0004248164768796	0.00042438073433	0.0004244608862791	0.0004243911535013	0.0004244631854817	0.0004248649347574	0.0004245224990882	0.0004248434852343
0.0004250096681062	0.0004249592602719	0.0004249791963957	0.0004255347885191	0.0004254071100149	0.0004252283833921	0.0004250711062923	0.000424692989327	0.0004252285871189	0.000425180507591
0.0004219161346555	0.0004219773982186	0.0004216222732794	0.0004217126406729	0.0004217495734338	0.000422044453444	0.0004221098206472	0.0004219235561322	0.0004218551621307	0.0004216823726892
0.0004114017647225	0.0004112421011087	0.0004115648043808	0.0004109760338906	0.000411088753026	0.000411294226069	0.00041117251385	0.0004116303753108	0.0004108468128834	0.0004114408802707
0.0003942689800169	0.0003943781193811	0.0003944123454858	0.00039470687625	0.0003947019577026	0.0003941269824281	0.0003941246250179	0.0003937727306038	0.0003947735240217	0.0003942492767237
0.000376407551812	0.0003762797568925	0.0003762494307011	0.0003766055160668	0.0003764306602534	0.0003764498105738	0.0003766522277147	0.0003765978908632	0.0003765525470953	0.0003762098785955
0.0003537106676959	0.0003536092408467	0.000353498297045	0.0003534084244166	0.0003530395333655	0.0003538367163856	0.0003536920121405	0.0003540061879903	0.0003532098489814	0.0003536990261637
0.0003274374466855	0.0003277396026533	0.0003279472293798	0.0003276132920291	0.0003281192912254	0.0003275431226939	0.0003275139315519	0.0003273039474152	0.0003277587238699	0.000327937072143
0.0002988942724187	0.0002987150510307	0.0002988342603203	0.0002987753832713	0.0002989325730596	0.0002986855688505	0.0002987737243529	0.0002987251209561	0.0002990207867697	0.0002986452600453
0.0002675452269614	0.0002674092829693	0.0002670925168786	0.0002675570140127	0.0002671607071534	0.0002672594564501	0.000267503404757	0.0002675440046005	0.0002672589907888	0.0002673886774573
0.000232113248785	0.0002321584179299	0.0002321878419025	0.0002320313942619	0.0002320221683476	0.0002324599190615	0.0002323100925423	0.0002323621301912	0.0002321472857147	0.0002322365617147
0.0001922066439874	0.0001923361269291	0.0001924458629219	0.0001921725051943	0.0001924482639879	0.0001923193631228	0.0001919586502481	0.0001918598718476	0.0001923127856571	0.000192191277165
0.0001518313511042	0.0001516791380709	0.0001517599303043	0.0001520162040833	0.0001519689540146	0.000151608401211	0.0001518804201623	0.0001519983779872	0.0001518115168437	0.000151687709149
0.000110182678327	0.0001101823800127	0.0001100339868572	0.0001099880610127	0.0001098203210859	0.0001099882574636	0.0001102583628381	0.0001101739981095	0.0001099938890547	0.0001102249370888
6.656200275756e-05	6.666565604974e-05	6.661406223429e-05	6.670176662738e-05	6.676082557533e-05	6.698748620693e-05	6.656283949269e-05	6.664158718195e-05	6.676556222374e-05	6.666190893156e-05
2.210417551396e-05	2.196636523877e-05	2.212335130025e-05	2.195893102908e-05	2.203127405664e-05	2.193418367824e-05	2.201952520409e-05	2.187021891586e-05	2.199984919571e-05	2.195480919909e-05
-2.260376095364e-05	-2.24807045015e-05	-2.244898496429e-05	-2.255444269395e-05	-2.235294778075e-05	-2.268725984322e-05	-2.246970507258e-05	-2.235114152427e-05	-2.243632843602e-05	-2.255372055515e-05
-6.634992314503e-05	-6.656903133262e-05	-6.658439087914e-05	-6.631701398874e-05	-6.661809311481e-05	-6.643879169133e-05	-6.652921729255e-05	-6.646941619692e-05	-6.66622800054e-05	-6.64461258566e-05
-0.0001097569183912	-0.0001095711122616	-0.0001096906489693	-0.0001098317807191	-0.0001098604479921	-0.000109503584099	-0.0001096068226616	-0.0001096950072679	-0.0001096013293136	-0.0001095567422453
-0.0001524121908005	-0.0001524782419438	-0.0001522440725239	-0.000152339664055	-0.0001520437945146	-0.0001524416002212	-0.0001524561230326	-0.0001525526749901	-0.000152252468979	-0.0001524887484265
