########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	5171
file                           	Q20-170_Q_BOA_090.0A_180514_095526.dat
date                           	14/05/2018
hour                           	09:55:26
operator                       	Lucas Balthazar
software_version               	v3.3
bench                          	1
temperature(C)                 	23.55
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+8.999880e+01
main_coil_current_std(A)       	+1.056309e-03
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_08-05-2018_r=13mm_Q20
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282809
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +2.129579e-05   	  +2.717769e-07   	  +4.124752e-05   	  +2.145425e-07   	  +4.642056e-05   	  +2.277859e-07   	  +0.000000e+00   	  +0.000000e+00   	  -3.298447e-04   	  +4.209478e-06   	  -6.388715e-04   	  +3.322991e-06   
2   	  -5.380257e+00   	  +2.118025e-05   	  +1.051926e-03   	  +2.480472e-05   	  +5.380258e+00   	  +2.118025e-05   	  -9.775794e-05   	  +2.305161e-06   	  +1.000000e+00   	  +5.567279e-06   	  -1.955159e-04   	  +4.610322e-06   
3   	  -9.669175e-02   	  +6.401870e-04   	  -3.435291e-02   	  +2.165154e-03   	  +1.026129e-01   	  +9.430363e-04   	  +0.000000e+00   	  +0.000000e+00   	  +2.156590e-04   	  +1.427858e-06   	  +7.661993e-05   	  +4.829108e-06   
4   	  -1.759405e+00   	  +8.497007e-02   	  +3.770117e-01   	  +1.542199e-01   	  +1.799345e+00   	  +8.914647e-02   	  +0.000000e+00   	  +0.000000e+00   	  +4.708962e-05   	  +2.274183e-06   	  -1.009053e-05   	  +4.127622e-06   
5   	  -5.026326e+01   	  +9.841653e+00   	  +1.008590e+01   	  +1.811776e+01   	  +5.126520e+01   	  +1.028662e+01   	  +0.000000e+00   	  +0.000000e+00   	  +1.614326e-05   	  +3.160885e-06   	  -3.239322e-06   	  +5.818956e-06   
6   	  +1.884854e+05   	  +2.153347e+03   	  -2.347761e+04   	  +5.282118e+02   	  +1.899419e+05   	  +2.137832e+03   	  +0.000000e+00   	  +0.000000e+00   	  -7.264398e-04   	  +8.299196e-06   	  +9.048483e-05   	  +2.035776e-06   
7   	  +1.815457e+05   	  +1.039623e+05   	  +5.341055e+04   	  +1.406747e+05   	  +1.892394e+05   	  +1.073480e+05   	  +0.000000e+00   	  +0.000000e+00   	  -8.396333e-06   	  +4.808160e-06   	  -2.470204e-06   	  +6.506078e-06   
8   	  +8.512763e+06   	  +9.969415e+06   	  -2.691794e+06   	  +6.268117e+06   	  +8.928208e+06   	  +9.691556e+06   	  +0.000000e+00   	  +0.000000e+00   	  -4.724477e-06   	  +5.532916e-06   	  +1.493911e-06   	  +3.478736e-06   
9   	  +9.212475e+08   	  +4.400011e+08   	  +1.220708e+09   	  +7.174111e+08   	  +1.529322e+09   	  +6.310057e+08   	  +0.000000e+00   	  +0.000000e+00   	  -6.135391e-06   	  +2.930349e-06   	  -8.129749e-06   	  +4.777864e-06   
10  	  -2.085068e+13   	  +7.798612e+10   	  +7.715779e+11   	  +9.649628e+10   	  +2.086495e+13   	  +7.801443e+10   	  +0.000000e+00   	  +0.000000e+00   	  +1.666353e-03   	  +6.232531e-06   	  -6.166330e-05   	  +7.711830e-06   
11  	  -1.089765e+13   	  +5.450345e+12   	  -7.473368e+12   	  +9.089877e+12   	  +1.321401e+13   	  +6.828855e+12   	  +0.000000e+00   	  +0.000000e+00   	  +1.045109e-05   	  +5.226996e-06   	  +7.167106e-06   	  +8.717384e-06   
12  	  -2.097463e+14   	  +6.647762e+14   	  -4.847750e+13   	  +3.639499e+14   	  +2.152756e+14   	  +6.528663e+14   	  +0.000000e+00   	  +0.000000e+00   	  +2.413829e-06   	  +7.650413e-06   	  +5.578888e-07   	  +4.188428e-06   
13  	  -2.072050e+16   	  +1.746377e+16   	  -2.663239e+16   	  +3.553001e+16   	  +3.374349e+16   	  +3.002294e+16   	  +0.000000e+00   	  +0.000000e+00   	  +2.861481e-06   	  +2.411730e-06   	  +3.677919e-06   	  +4.906660e-06   
14  	  +4.209023e+20   	  +2.265648e+18   	  -1.979610e+19   	  +3.473921e+18   	  +4.213676e+20   	  +2.269023e+18   	  +0.000000e+00   	  +0.000000e+00   	  -6.975144e-04   	  +3.754607e-06   	  +3.280586e-05   	  +5.756942e-06   
15  	  +7.284462e+20   	  +3.620556e+20   	  +8.554751e+19   	  +2.824566e+20   	  +7.334523e+20   	  +3.610905e+20   	  +0.000000e+00   	  +0.000000e+00   	  -1.448606e-05   	  +7.199933e-06   	  -1.701231e-06   	  +5.617005e-06   

magnetic_center_x(um) 	3.958
magnetic_center_y(um) 	7.666


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.267432864755e-05	2.265330840601e-05	2.218836380052e-05	2.2377795176e-05	2.256802508782e-05	2.269500146213e-05	2.263016176585e-05	2.256880725326e-05	2.240937465103e-05	2.257839332742e-05
6.697695789626e-05	6.703408143949e-05	6.720292731188e-05	6.694121839246e-05	6.661905354122e-05	6.695907359244e-05	6.678211502731e-05	6.692882016068e-05	6.710765592288e-05	6.690450391034e-05
0.0001110393277486	0.0001110343582695	0.0001112982427003	0.0001114248589147	0.0001115076811402	0.0001111752499128	0.0001112793906941	0.0001113374819397	0.0001113189064199	0.000111028784886
0.0001544538536109	0.0001543262624182	0.000154000488692	0.0001540585944895	0.0001543084799778	0.0001542398822494	0.0001543936668895	0.0001541370438645	0.0001539866643725	0.0001544741098769
0.0001955688931048	0.0001956793421414	0.0001958477369044	0.000195584478206	0.0001953289465746	0.0001956708438229	0.0001953634055099	0.0001955648185685	0.0001956619817065	0.0001956033956958
0.0002343248634133	0.0002343339583604	0.0002343455853406	0.0002345307002543	0.0002345762623008	0.0002341972285649	0.0002345217217226	0.0002343926462345	0.000234580016695	0.0002343529340578
0.0002700168988667	0.0002699291508179	0.0002697657037061	0.0002698940224946	0.0002700128825381	0.000269858923275	0.0002700401819311	0.0002700935292523	0.0002697167219594	0.0002698901225813
0.000303354987409	0.0003035154659301	0.0003035006811842	0.0003033608081751	0.0003032283857465	0.0003035061527044	0.0003031601372641	0.0003031732339878	0.0003034735855181	0.0003034365945496
0.0003317417285871	0.0003316445508972	0.0003318613744341	0.0003318742092233	0.000331884395564	0.0003318942908663	0.0003319961542729	0.0003318852395751	0.0003318309900351	0.0003319303796161
0.0003578156174626	0.0003578229225241	0.0003576130548026	0.0003576160233933	0.00035774774733	0.0003577784227673	0.0003577689058147	0.0003577082243282	0.0003575775481295	0.0003574767906684
0.0003799110709224	0.000379990611691	0.0003800254198723	0.0003800632548518	0.0003798928519245	0.0003798354591709	0.000379796634661	0.0003799617988989	0.0003800729755312	0.0003800290869549
0.0003999464097433	0.0003998269094154	0.0003998895699624	0.0003999207692686	0.0003999678883702	0.0003999390173703	0.0003999881446362	0.0003998446336482	0.0003999472246505	0.0004000458284281
0.0004168933664914	0.0004169548046775	0.0004169453168288	0.0004167924053036	0.0004170045431238	0.0004168626037426	0.0004169369349256	0.0004169972089585	0.0004168386512902	0.0004168054729234
0.0004252872604411	0.0004253662773408	0.0004254342638887	0.0004253623774275	0.0004252268117853	0.0004253151128069	0.0004252367652953	0.000425384438131	0.0004253282968421	0.0004253048391547
0.0004293250967748	0.0004294031532481	0.0004291068471503	0.000429456384154	0.0004295248945709	0.0004294791724533	0.0004294083628338	0.0004295112157706	0.0004296443948988	0.0004293800448067
0.0004299709980842	0.0004298322310206	0.0004301149165258	0.0004298779531382	0.0004297830746509	0.0004298570274841	0.0004299049614929	0.0004296599072404	0.0004296692786738	0.0004300715227146
0.0004272402438801	0.0004271189973224	0.0004272001096979	0.0004271133220755	0.0004270890494809	0.0004271114885341	0.0004271697252989	0.0004270711506251	0.0004271358484402	0.0004269355267752
0.0004162382974755	0.000416307389969	0.0004160272947047	0.0004162494151387	0.0004162029363215	0.0004162583791185	0.0004160809039604	0.0004164550337009	0.0004162355035078	0.0004162600671407
0.0003988145617768	0.0003988934040535	0.0003989216347691	0.0003988702083007	0.0003989891265519	0.000398819858674	0.0003990312980022	0.0003987430245616	0.0003989448014181	0.0003989513206761
0.0003809671325143	0.000380799989216	0.0003810812486336	0.0003809011541307	0.0003809618938249	0.0003809832851402	0.0003808793553617	0.0003809485933743	0.0003808072651736	0.0003809835470747
0.0003575689916033	0.0003576314193197	0.0003575085138436	0.000357882847311	0.0003575966402423	0.0003576152957976	0.0003576693125069	0.0003576851740945	0.0003578239120543	0.0003575098817237
0.0003319446695969	0.000332113908371	0.0003320138785057	0.0003317332884762	0.0003318595991004	0.0003318035160191	0.0003319493844174	0.0003319817478769	0.0003317785158288	0.0003318324452266
0.0003027688071597	0.0003026351041626	0.0003028351638932	0.000302757951431	0.000302900589304	0.0003028847277164	0.0003026138583664	0.0003027243365068	0.0003027240454685	0.0003031168307643
0.0002702410274651	0.0002702273486648	0.0002700310724322	0.0002702925121412	0.0002702887868509	0.0002703605277929	0.0002704434737097	0.000270211865427	0.0002706677478272	0.0002701010380406
0.0002348302514292	0.0002347668632865	0.0002347448898945	0.000234681981965	0.0002345877146581	0.0002346762339585	0.0002348946291022	0.0002347456174903	0.0002343591913814	0.0002345476823393
0.0001952106540557	0.0001953379978659	0.0001955255138455	0.0001953991304617	0.0001954554900294	0.0001952896418516	0.000195061773411	0.0001951631420525	0.0001952830789378	0.0001955465122592
0.0001539547811262	0.0001540262601338	0.0001539188087918	0.0001539442164358	0.0001539170771139	0.0001539128716104	0.0001540090452181	0.00015424801677	0.000154076697072	0.0001538695942145
0.0001111968304031	0.0001108701326302	0.0001108382857637	0.0001109340446419	0.0001109594595619	0.0001109754957724	0.0001109624354285	0.0001108961223508	0.0001111093661166	0.0001109803561121
6.720572855556e-05	6.766126170987e-05	6.74444163451e-05	6.750391185051e-05	6.75997507642e-05	6.763797864551e-05	6.746908184141e-05	6.728633161401e-05	6.738068623235e-05	6.767203012714e-05
2.292269709869e-05	2.264795875817e-05	2.295304329891e-05	2.286174822075e-05	2.268150092277e-05	2.261194276798e-05	2.292937460879e-05	2.302112807229e-05	2.27021646424e-05	2.2555292162e-05
-2.217045039288e-05	-2.225065509265e-05	-2.225705065939e-05	-2.223623232567e-05	-2.221040631412e-05	-2.215503991465e-05	-2.229056553915e-05	-2.234465137008e-05	-2.227973345725e-05	-2.225739808637e-05
-6.773441418773e-05	-6.736251816619e-05	-6.762589327991e-05	-6.767109152861e-05	-6.751420005457e-05	-6.767201557523e-05	-6.77106436342e-05	-6.7438253609e-05	-6.738751835655e-05	-6.734674389008e-05
-0.0001111982273869	-0.0001115178311011	-0.0001111651945394	-0.0001113346588681	-0.0001114855258493	-0.0001112406025641	-0.000111099849164	-0.0001114475962822	-0.0001112540121539	-0.00011148127669
-0.0001535352494102	-0.0001535533956485	-0.0001537161442684	-0.0001534443435958	-0.0001534462935524	-0.0001534131151857	-0.0001536452327855	-0.0001536435738672	-0.0001537034258945	-0.0001535167102702
