########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	40490
file                           	Q20-055_Q_BOA_150.0A_200929_151806.dat
date                           	29/09/2020
hour                           	15:18:06
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	1
temperature(C)                 	23.449
integrator_gain                	50
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.499920e+02
main_coil_current_std(A)       	+2.916006e-14
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	-2.004850e+00
trim_coil_current_std(A)   	+2.322493e-02

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2020-08-06_r=13mm_b1_CALIBRATED
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232469
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.0129575
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Etapa 5 - Medida 7
Main = 150A
Trim = -10 a 10A
Fator = 1.5%
Rampas de excitação M7



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +1.601568e-04   	  +7.039167e-07   	  +6.185279e-06   	  +4.361265e-07   	  +1.602762e-04   	  +7.035936e-07   	  +3.860096e-02   	  +2.724343e-03   	  -1.541139e-03   	  +6.773572e-06   	  -5.951900e-05   	  +4.196708e-06   
2   	  -8.660090e+00   	  +3.234545e-05   	  +9.289310e-03   	  +7.586206e-05   	  +8.660095e+00   	  +3.234553e-05   	  -5.363285e-04   	  +4.379976e-06   	  +1.000000e+00   	  +5.282089e-06   	  -1.072657e-03   	  +8.759962e-06   
3   	  +7.227291e-03   	  +2.605048e-03   	  +4.215600e-02   	  +2.056610e-03   	  +4.277104e-02   	  +2.074282e-03   	  +4.670018e-01   	  +2.019278e-02   	  -1.001462e-05   	  +3.609729e-06   	  -5.841417e-05   	  +2.849776e-06   
4   	  -1.588250e+00   	  +1.398744e-01   	  -2.430098e+00   	  +1.326714e-01   	  +2.903087e+00   	  +1.348676e-01   	  +2.479781e-01   	  +1.186306e-02   	  +2.640943e-05   	  +2.325832e-06   	  +4.040766e-05   	  +2.206060e-06   
5   	  -2.842057e+01   	  +1.661110e+01   	  -5.546414e+01   	  +6.469341e+00   	  +6.232174e+01   	  +9.514812e+00   	  +2.194535e-01   	  +4.837733e-02   	  +5.670931e-06   	  +3.314514e-06   	  +1.106709e-05   	  +1.290867e-06   
6   	  +3.688713e+05   	  +1.333144e+03   	  -7.060172e+02   	  +7.966477e+02   	  +3.688720e+05   	  +1.333143e+03   	  -3.189985e-04   	  +3.599488e-04   	  -8.832374e-04   	  +3.192126e-06   	  +1.690509e-06   	  +1.907519e-06   
7   	  +1.991991e+05   	  +8.859838e+04   	  -2.283503e+05   	  +7.535725e+04   	  +3.030250e+05   	  +8.134407e+04   	  -1.219250e-01   	  +3.919319e-02   	  -5.723622e-06   	  +2.545714e-06   	  +6.561229e-06   	  +2.165254e-06   
8   	  +5.773796e+05   	  +4.365373e+06   	  +1.906313e+07   	  +6.820065e+06   	  +1.907188e+07   	  +6.818220e+06   	  +1.925647e-01   	  +2.863021e-02   	  -1.990828e-07   	  +1.505173e-06   	  -6.572936e-06   	  +2.351547e-06   
9   	  +4.683022e+09   	  +9.572033e+08   	  +8.952170e+08   	  +6.123544e+08   	  +4.767820e+09   	  +9.471833e+08   	  +2.098705e-02   	  +1.462914e-02   	  -1.937638e-05   	  +3.960504e-06   	  -3.704032e-06   	  +2.533665e-06   
10  	  -3.538593e+13   	  +2.884198e+10   	  +2.650409e+11   	  +6.517087e+10   	  +3.538692e+13   	  +2.884530e+10   	  -7.489868e-04   	  +1.841624e-04   	  +1.756945e-03   	  +1.432047e-06   	  -1.315954e-05   	  +3.235795e-06   
11  	  +4.298443e+12   	  +4.013594e+12   	  +9.605472e+12   	  +5.397965e+12   	  +1.052339e+13   	  +5.192706e+12   	  +1.045476e-01   	  +3.693794e-02   	  -2.561064e-06   	  +2.391345e-06   	  -5.723049e-06   	  +3.216169e-06   
12  	  -6.672254e+14   	  +2.773438e+14   	  -5.103376e+14   	  +3.967650e+14   	  +8.400203e+14   	  +3.265465e+14   	  +5.441227e-02   	  +3.545198e-02   	  +4.770485e-06   	  +1.982935e-06   	  +3.648781e-06   	  +2.836765e-06   
13  	  -1.612309e+17   	  +4.779535e+16   	  -5.748156e+16   	  +2.909397e+16   	  +1.711710e+17   	  +4.606776e+16   	  +2.634376e-02   	  +1.427215e-02   	  +1.383310e-05   	  +4.100690e-06   	  +4.931737e-06   	  +2.496171e-06   
14  	  +7.351537e+20   	  +2.440791e+18   	  -7.586126e+18   	  +3.150294e+18   	  +7.351928e+20   	  +2.440877e+18   	  -7.370526e-04   	  +3.060642e-04   	  -7.568864e-04   	  +2.512947e-06   	  +7.810390e-06   	  +3.243423e-06   
15  	  -1.448666e+20   	  +2.199439e+20   	  -2.182683e+20   	  +2.399954e+20   	  +2.619683e+20   	  +2.340460e+20   	  +6.565629e-02   	  +5.758059e-02   	  +1.789792e-06   	  +2.717350e-06   	  +2.696644e-06   	  +2.965082e-06   

magnetic_center_x(um) 	18.494
magnetic_center_y(um) 	0.714


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
3.544250705089785e-05	3.5498236229611696e-05	3.561987146895225e-05	3.55496832344256e-05	3.547621618053825e-05	3.553889358954845e-05	3.557236263077755e-05	3.551876199708255e-05	3.5538886422727847e-05	3.55090473749408e-05
0.00010664491444911049	0.0001065594573082895	0.0001065374551763365	0.00010662180862712	0.000106603913081913	0.000106603475906014	0.0001065497892704915	0.0001065791087239525	0.00010661358111971099	0.00010659314135407749
0.000177374910272233	0.0001775143192208205	0.000177390146927746	0.000177350356752895	0.000177459306723881	0.00017738793954776951	0.000177432316486327	0.00017740114082696098	0.00017737496760671898	0.0001773621676693235
0.0002454559569013825	0.0002453259794856905	0.00024545931097235947	0.0002454967217636775	0.000245389018818944	0.0002454613463487795	0.00024545747626693597	0.0002454001703881925	0.00024547831737436554	0.000245455068215963
0.000310791653464543	0.00031077952720804747	0.0003107883280609075	0.0003106855558871905	0.00031072136131112747	0.000310786608024456	0.000310709378391044	0.000310773220407988	0.000310769436327972	0.0003108589642215345
0.000373390284803511	0.0003734009776962805	0.0003733656022813825	0.000373427437589248	0.00037350581391366053	0.000373341980448427	0.00037345025673861154	0.0003734318810165425	0.000373333322931979	0.00037334338514481154
0.00043054050023785703	0.000430457709153393	0.00043053496745414647	0.0004304796396172385	0.00043045819649701646	0.00043061213975307253	0.0004305773663508685	0.0004304893864901025	0.000430600902182095	0.000430554432532533
0.000482985412818383	0.00048297291388733443	0.00048299292364392893	0.00048297514993465244	0.00048299005691657544	0.0004829123112721985	0.0004829365637851895	0.00048295932559996846	0.00048299624904756444	0.0004829467693343355
0.0005288336705416621	0.0005290221865289255	0.0005289478236227685	0.0005289207617170085	0.000528850469563593	0.0005288516735890795	0.000528947995626325	0.0005289774655830579	0.000528847602836338	0.000528989219164902
0.000570996004971713	0.0005708511779084855	0.0005708793865051475	0.000570877093123245	0.000570926343498333	0.000570889534719709	0.0005707761269878069	0.0005708073743153789	0.000570909659145374	0.0005708586887340314
0.0006058683665469126	0.0006058808081433766	0.0006058153320919069	0.0006059295998420839	0.000605779211327903	0.0006057843141024761	0.0006058619450777825	0.000605777548626036	0.000605813268048244	0.0006057174046872805
0.0006371061765821209	0.0006369927688502189	0.0006371076672803329	0.0006369917368283875	0.0006371054885675995	0.0006370921296183745	0.000637156057637146	0.0006371742326882185	0.000637174691364599	0.0006371006151311675
0.000664926503668574	0.0006650305658695065	0.0006649181901593375	0.0006650297631859145	0.0006650834856554416	0.0006650053386692685	0.00066491675679571	0.0006648908415809506	0.0006649712819489274	0.0006648709464934265
0.000678695796232244	0.0006786371429916019	0.000678665924933715	0.000678687884064902	0.0006785893259802399	0.0006786483232280935	0.000678780135349406	0.0006788342591608275	0.000678678309195693	0.0006788800121285265
0.0006857282223063889	0.0006859770542359645	0.000685893575136979	0.0006857413519173745	0.0006857864742051365	0.0006858239709981835	0.000685759870975757	0.000685633906978222	0.0006857014470733545	0.0006856315562618335
0.0006861564540303995	0.0006859879477997305	0.0006861311121610909	0.000686079740407854	0.0006861391389975035	0.0006860611640149855	0.0006861351255793466	0.0006861773811397549	0.000686175202426923	0.0006862579935113869
0.0006801082901074309	0.000679877862567069	0.0006799875435535396	0.0006800859869690324	0.000679967075120663	0.000680149112304212	0.000680063454492493	0.0006800553703214961	0.0006800220016156765	0.0006799205768038579
0.0006638673626002755	0.000664107995689882	0.0006638314138399266	0.000663761465693821	0.0006638562396983686	0.0006639088154770919	0.000663863463851189	0.000663793630374154	0.000664035180816423	0.0006638464354910185
0.0006374478904763345	0.000637539339077148	0.0006376069938414495	0.000637605560477822	0.000637547537917314	0.0006375275281607195	0.0006376133579760935	0.0006376909316168155	0.000637453279923633	0.0006376581362565455
0.000607125942478895	0.0006070402273325914	0.0006071272038388675	0.0006073140571242639	0.0006072207738179285	0.0006070921150967935	0.000607204433472378	0.0006070682065911125	0.0006071776582393435	0.0006070901083876165
0.000570227034040736	0.000570221759262508	0.000570147453690837	0.000569876547961004	0.0005700300325406795	0.0005699877196456866	0.0005701007833704755	0.0005701680367928825	0.0005701369614689655	0.0005702043868950276
0.0005299983071745205	0.0005299036478390434	0.000530104949430081	0.0005301161870011569	0.0005302174398093204	0.0005300413654186195	0.00053000834072011	0.00053002152766568	0.0005300178582547345	0.0005300513989641105
0.0004830858629429545	0.0004831267424742215	0.000483026120345995	0.0004830489968298445	0.0004829350730869775	0.000483124162419692	0.000483119116979605	0.00048302038689148507	0.000483052035560853	0.000483034777862443
0.000431296312890507	0.000431302963697778	0.00043124760719362703	0.000431324980163451	0.00043132495149620796	0.000431277478492156	0.0004313984830514315	0.00043138280205315947	0.0004312657822446995	0.00043123224153532346
0.00037462977168615	0.0003747424627362875	0.0003748395587899805	0.000374670049204723	0.000374688166921211	0.0003747179235506695	0.0003745646969764765	0.0003746521034917915	0.0003747098680469155	0.0003746556295664235
0.0003110764054872245	0.00031114285622603954	0.0003110119614575865	0.0003110202749667245	0.0003110145988467005	0.00031109713192568195	0.000311150682391554	0.000311078182858162	0.000311109458852977	0.000311177170951863
0.0002459370797441835	0.0002459594402171665	0.000245982144697361	0.0002459536207607305	0.00024600963661215996	0.000245875273103561	0.000245997567690249	0.000245916467974895	0.000245929052907771	0.000245870514336298
0.0001776234698627045	0.0001776445116411305	0.000177561261880286	0.00017753712403646398	0.0001776603073085715	0.0001775587104929995	0.0001776083908771265	0.00017761395232808	0.00017778842135159702	0.000177586331410589
0.0001075509077781835	0.000107524849227012	0.0001076068376277855	0.0001075366816440205	0.00010752642592705151	0.00010757273790658	0.000107553158159123	0.00010756210234829649	0.0001074039020022225	0.0001076154019756445
3.6290015559642496e-05	3.63050407941054e-05	3.628589105573665e-05	3.633083058957335e-05	3.63846318941762e-05	3.62852675425513e-05	3.62099980338839e-05	3.631078499893495e-05	3.636137556896295e-05	3.6271650587873354e-05
-3.570577653590315e-05	-3.5729907212953804e-05	-3.5711807413468046e-05	-3.5696054746950644e-05	-3.578441444914935e-05	-3.5728771272262996e-05	-3.5613131076384345e-05	-3.5734880984815095e-05	-3.57550663284158e-05	-3.573054864319065e-05
-0.00010729760375397199	-0.00010741211517601	-0.000107342654373528	-0.000107322221774656	-0.0001072621495041065	-0.0001073474346412725	-0.00010732053757240599	-0.000107282453100188	-0.000107339672977104	-0.000107341299844868
-0.00017750313898432898	-0.000177384069465926	-0.0001774741993721825	-0.000177594845590625	-0.0001774963161733045	-0.000177418455859857	-0.000177462517458446	-0.00017746749123032698	-0.0001774874006514725	-0.00017750388433343498
