########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	7953
file                           	Q20-115_Q_BOA_157.44A_180604_151256.dat
date                           	04/06/2018
hour                           	15:12:56
operator                       	Lucas Balthazar
software_version               	v3.3
bench                          	1
temperature(C)                 	22.99
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.574372e+02
main_coil_current_std(A)       	+1.056309e-03
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_21-05-2018_r=13mm_Q20
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282755
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +3.372628e-05   	  +1.731812e-07   	  +9.836568e-05   	  +1.014736e-06   	  +1.039869e-04   	  +9.615244e-07   	  +0.000000e+00   	  +0.000000e+00   	  -3.094190e-04   	  +1.588837e-06   	  -9.024478e-04   	  +9.309610e-06   
2   	  -9.083229e+00   	  +3.473955e-05   	  -2.485482e-03   	  +8.007618e-05   	  +9.083229e+00   	  +3.473956e-05   	  +1.368171e-04   	  +4.407914e-06   	  +1.000000e+00   	  +5.408776e-06   	  +2.736342e-04   	  +8.815828e-06   
3   	  -2.435843e-01   	  +1.953694e-03   	  -2.335673e-01   	  +6.437792e-03   	  +3.374714e-01   	  +4.673483e-03   	  +0.000000e+00   	  +0.000000e+00   	  +3.218031e-04   	  +2.581057e-06   	  +3.085695e-04   	  +8.505070e-06   
4   	  -4.909846e+00   	  +2.247721e-01   	  +7.664385e-01   	  +4.448713e-01   	  +4.969307e+00   	  +2.324405e-01   	  +0.000000e+00   	  +0.000000e+00   	  +7.783773e-05   	  +3.563400e-06   	  -1.215064e-05   	  +7.052720e-06   
5   	  +8.399731e+01   	  +2.232084e+01   	  +2.908812e+02   	  +3.683919e+01   	  +3.027663e+02   	  +3.593072e+01   	  +0.000000e+00   	  +0.000000e+00   	  -1.597970e-05   	  +4.246333e-06   	  -5.533744e-05   	  +7.008313e-06   
6   	  +3.719470e+05   	  +1.650920e+03   	  -2.724523e+04   	  +2.949074e+03   	  +3.729436e+05   	  +1.660544e+03   	  +0.000000e+00   	  +0.000000e+00   	  -8.491136e-04   	  +3.768868e-06   	  +6.219782e-05   	  +6.732408e-06   
7   	  +1.217194e+05   	  +5.974340e+04   	  -1.453210e+05   	  +1.752696e+05   	  +1.895622e+05   	  +1.397331e+05   	  +0.000000e+00   	  +0.000000e+00   	  -3.334459e-06   	  +1.636650e-06   	  +3.981025e-06   	  +4.801452e-06   
8   	  -3.628315e+07   	  +1.357356e+07   	  +3.064475e+07   	  +1.714678e+07   	  +4.749281e+07   	  +1.516391e+07   	  +0.000000e+00   	  +0.000000e+00   	  +1.192757e-05   	  +4.462117e-06   	  -1.007402e-05   	  +5.636763e-06   
9   	  -3.496500e+09   	  +1.381873e+09   	  +2.274251e+09   	  +1.082591e+09   	  +4.171058e+09   	  +1.300115e+09   	  +0.000000e+00   	  +0.000000e+00   	  +1.379310e-05   	  +5.451255e-06   	  -8.971530e-06   	  +4.270639e-06   
10  	  -3.519431e+13   	  +7.226545e+10   	  +9.375898e+11   	  +1.170135e+11   	  +3.520680e+13   	  +7.230700e+10   	  +0.000000e+00   	  +0.000000e+00   	  +1.666028e-03   	  +3.420906e-06   	  -4.438359e-05   	  +5.539181e-06   
11  	  +2.298265e+13   	  +8.399109e+12   	  +2.172538e+13   	  +1.507073e+13   	  +3.162585e+13   	  +1.201816e+13   	  +0.000000e+00   	  +0.000000e+00   	  -1.305542e-05   	  +4.771162e-06   	  -1.234123e-05   	  +8.561015e-06   
12  	  +1.843711e+15   	  +7.866498e+14   	  -1.332682e+15   	  +8.838064e+14   	  +2.274931e+15   	  +8.212879e+14   	  +0.000000e+00   	  +0.000000e+00   	  -1.256796e-05   	  +5.362331e-06   	  +9.084460e-06   	  +6.024615e-06   
13  	  +1.197169e+17   	  +5.704399e+16   	  -1.427667e+17   	  +8.431846e+16   	  +1.863182e+17   	  +7.428186e+16   	  +0.000000e+00   	  +0.000000e+00   	  -9.792843e-06   	  +4.666200e-06   	  +1.167833e-05   	  +6.897252e-06   
14  	  +7.108870e+20   	  +3.355624e+18   	  -3.188243e+19   	  +7.454224e+18   	  +7.116016e+20   	  +3.368850e+18   	  +0.000000e+00   	  +0.000000e+00   	  -6.978069e-04   	  +3.293883e-06   	  +3.129581e-05   	  +7.317069e-06   
15  	  -1.303987e+21   	  +4.256565e+20   	  -1.051065e+21   	  +5.153854e+20   	  +1.674849e+21   	  +4.630743e+20   	  +0.000000e+00   	  +0.000000e+00   	  +1.535993e-05   	  +5.013894e-06   	  +1.238071e-05   	  +6.070830e-06   

magnetic_center_x(um) 	-3.713
magnetic_center_y(um) 	-10.829


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
3.778899190365e-05	3.73528819182e-05	3.784658474615e-05	3.753776400117e-05	3.793799623963e-05	3.772186755668e-05	3.76590032829e-05	3.770039256779e-05	3.785053922911e-05	3.771308911382e-05
0.0001134504127549	0.0001131289827754	0.0001135773854912	0.0001129100783146	0.0001127991636167	0.0001127726281993	0.0001137243743869	0.0001128746225731	0.0001127740179072	0.0001130005402956
0.000188084479305	0.000188678081031	0.0001881072093965	0.0001888609695015	0.0001886689278763	0.0001887035177788	0.0001878118055174	0.0001886289683171	0.000188720994629	0.0001885051169666
0.00026007584529	0.0002594978432171	0.0002599034341983	0.0002596134436317	0.0002596896956675	0.0002598185092211	0.0002601897285786	0.000259674678091	0.0002597678103484	0.0002598770370241
0.0003303690755274	0.0003304939600639	0.000330384587869	0.0003302097611595	0.0003303192206658	0.0003301563847344	0.000330342707457	0.0003303975972813	0.0003303376433905	0.0003302070836071
0.0003956363652833	0.0003961395705119	0.0003958766174037	0.0003962382033933	0.0003961726906709	0.000396237388486	0.0003956950095017	0.0003961445763707	0.0003960452741012	0.0003961914917454
0.0004558764921967	0.0004552385653369	0.0004556183121167	0.0004552532045636	0.0004551435995381	0.0004552172322292	0.0004558824002743	0.000455195637187	0.0004552775935736	0.000455338624306
0.0005122691509314	0.0005126245669089	0.0005122287548147	0.0005125065217726	0.0005126195610501	0.0005125415045768	0.0005121374852024	0.0005125360330567	0.0005123487208039	0.0005123972077854
0.0005601537413895	0.0005603077588603	0.0005602352321148	0.0005602086312138	0.0005602696910501	0.000560297165066	0.0005601056618616	0.0005603920435533	0.0005604650359601	0.0005604915204458
0.0006039692088962	0.0006034294492565	0.0006040232838131	0.0006037236889824	0.0006036560516804	0.0006035988917574	0.0006040759617463	0.0006035941769369	0.0006035632686689	0.0006034200778231
0.0006414784002118	0.000641753198579	0.0006413727533072	0.0006416213000193	0.0006418151897378	0.0006416674586944	0.0006415516836569	0.0006416726973839	0.0006417609401979	0.0006417372496799
0.0006753072375432	0.0006753637571819	0.0006753969355486	0.0006755067734048	0.0006752219051123	0.0006755184731446	0.0006752569461241	0.0006753651541658	0.0006754181231372	0.0006754374480806
0.000704133824911	0.0007039570482448	0.0007041707867756	0.0007039268966764	0.0007041194476187	0.0007038780604489	0.0007039810880087	0.0007042296347208	0.0007038648473099	0.0007038420881145
0.0007175416685641	0.0007175692007877	0.0007173515623435	0.0007172143086791	0.0007173900376074	0.0007174986531027	0.0007176853250712	0.0007172374753281	0.0007175245555118	0.0007175621576607
0.0007239152328111	0.0007242891588248	0.0007244601729326	0.0007247690227814	0.0007243815925904	0.0007243882864714	0.000724199519027	0.0007241304265335	0.0007241948624142	0.0007242733845487
0.0007247928297147	0.0007243445143104	0.0007243529544212	0.0007240192499012	0.0007241657585837	0.0007246258319356	0.0007242970168591	0.0007246544118971	0.0007240940467454	0.0007242803112604
0.0007236261153594	0.0007236988749355	0.0007235251250677	0.0007238191901706	0.0007237218087539	0.0007234583608806	0.0007235911907628	0.0007238782127388	0.0007244703010656	0.0007239609258249
0.0007010506815277	0.0007012579008006	0.0007014141883701	0.0007015200681053	0.0007017665775493	0.0007011043489911	0.0007015081937425	0.000701344688423	0.0007011062698439	0.0007012469577603
0.0006731970934197	0.0006731302128173	0.0006729839951731	0.0006729793967679	0.000672719150316	0.0006731232861057	0.0006730509921908	0.0006725648418069	0.000672938360367	0.0006730749155395
0.0006421984289773	0.0006423358572647	0.0006422572769225	0.0006421277066693	0.0006423349259421	0.0006424127495848	0.0006421251455322	0.0006425066967495	0.0006422423757613	0.0006422611768357
0.0006029378855601	0.0006028048810549	0.0006027625640854	0.0006027536001056	0.000602625135798	0.0006026797345839	0.0006028341595083	0.0006028869538568	0.0006025625625625	0.0006027141353115
0.0005605089245364	0.0005605145124719	0.0005607123603113	0.0005607199273072	0.0005606794729829	0.0005604244652204	0.0005606134654954	0.0005605694605038	0.00056100852089	0.0005607458297163
0.000508958415594	0.0005092137726024	0.0005090121994726	0.0005089871701784	0.0005094562075101	0.0005093283834867	0.0005091165658087	0.000509197707288	0.0005090754129924	0.000509170233272
0.0004561167734209	0.0004559771041386	0.0004558734362945	0.0004560386005323	0.0004556231724564	0.0004560771049	0.0004557132488117	0.0004557718348224	0.0004555143532343	0.0004557096108329
0.0003957035951316	0.0003956789441872	0.0003961487091146	0.0003958451270591	0.0003958342713304	0.0003958075831179	0.0003962471964769	0.0003958405286539	0.0003962698101532	0.0003959108144045
0.0003284237754997	0.0003280907112639	0.0003278408548795	0.0003280250239186	0.0003283272671979	0.0003277812793385	0.0003279641096015	0.0003282483376097	0.0003279584052507	0.0003281424578745
0.0002588896604721	0.0002592724049464	0.0002595455443952	0.0002592522941995	0.0002589309297036	0.0002594493271317	0.0002592683013063	0.0002591897791717	0.000259466440184	0.0002594061661512
0.000187044555787	0.0001870580017567	0.0001864967489382	0.0001867516693892	0.0001869822881417	0.0001869796833489	0.0001867620740086	0.0001866588718258	0.0001864542718977	0.0001865068770712
0.0001135484271799	0.0001133692130679	0.0001136159989983	0.0001137007784564	0.0001135297497967	0.0001133874902735	0.0001135187922046	0.0001137357394327	0.0001136667415267	0.0001136510400102
3.728947922355e-05	3.713673868333e-05	3.753633063752e-05	3.731706965482e-05	3.740724423551e-05	3.730515163625e-05	3.750185715035e-05	3.734576603165e-05	3.771555566345e-05	3.751448457479e-05
-3.842847945634e-05	-3.822072903858e-05	-3.875792390318e-05	-3.863611709676e-05	-3.869172360282e-05	-3.851945439237e-05	-3.871570515912e-05	-3.870962973451e-05	-3.902215394191e-05	-3.895572081092e-05
-0.0001135884449468	-0.0001133873302024	-0.0001133679106715	-0.0001132614997914	-0.000113392037747	-0.0001133236874011	-0.0001132395336754	-0.0001132883771788	-0.0001132673278335	-0.0001129369411501
-0.0001881658972707	-0.0001886449899757	-0.000188148507732	-0.0001883565855678	-0.0001881893840618	-0.0001883879303932	-0.000188574907952	-0.0001884857774712	-0.0001881606149254	-0.0001887006219476
-0.000260630476987	-0.000260373664787	-0.0002607076021377	-0.0002606979105622	-0.0002606886846479	-0.0002605981426314	-0.0002601770393085	-0.0002603751199786	-0.0002607927308418	-0.0002603241882753
-0.0003286670544185	-0.0003288101870567	-0.0003288549487479	-0.0003285710990895	-0.0003286727296654	-0.0003288587613497	-0.0003290871682111	-0.00032889234717	-0.0003285369602963	-0.0003289644373581
-0.0003960675385315	-0.0003957647713833	-0.0003957894223277	-0.000395899056457	-0.0003959799360018	-0.0003957398876082	-0.0003956772270612	-0.0003959034511354	-0.0003961367765442	-0.0003957063599955
-0.0004571806639433	-0.000457510293927	-0.0004572609323077	-0.0004574291815516	-0.0004572366888169	-0.0004572483303491	-0.0004573435580824	-0.000457107584225	-0.0004570778692141	-0.0004573981568683
-0.000509065692313	-0.0005089318729006	-0.00050917401677	-0.0005090567283332	-0.0005090180784464	-0.0005092423525639	-0.0005093381623738	-0.0005093519575894	-0.0005091632483527	-0.0005090408376418
-0.0005598948919214	-0.0005597781273536	-0.0005595645052381	-0.0005597307463177	-0.0005598536808975	-0.0005597827839665	-0.0005595709080808	-0.0005595599068329	-0.0005598308634944	-0.0005598142161034
