########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	4850
file                           	Q20-147_Q_BOA_002.0A_180510_160122.dat
date                           	10/05/2018
hour                           	16:01:22
operator                       	Lidia Toledo
software_version               	v3.3
bench                          	1
temperature(C)                 	23.48
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.995800e+00
main_coil_current_std(A)       	+1.151658e-03
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_08-05-2018_r=13mm_Q20
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282809
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +2.740064e-07   	  +2.168352e-07   	  +8.546998e-06   	  +1.899225e-07   	  +8.551389e-06   	  +1.899521e-07   	  +0.000000e+00   	  +0.000000e+00   	  -1.431116e-04   	  +1.132473e-04   	  -4.463872e-03   	  +9.919303e-05   
2   	  -1.595588e-01   	  +1.954265e-05   	  +2.938422e-05   	  +1.292221e-05   	  +1.595588e-01   	  +1.954265e-05   	  -9.207963e-05   	  +4.049359e-05   	  +1.000000e+00   	  +1.732119e-04   	  -1.841586e-04   	  +8.098718e-05   
3   	  -2.395737e-02   	  +7.632659e-04   	  -2.252200e-02   	  +7.512624e-04   	  +3.288155e-02   	  +7.576582e-04   	  +0.000000e+00   	  +0.000000e+00   	  +1.801770e-03   	  +5.740367e-05   	  +1.693820e-03   	  +5.650087e-05   
4   	  -2.623248e-01   	  +4.932175e-02   	  +5.763168e-02   	  +5.540506e-02   	  +2.685809e-01   	  +4.961824e-02   	  +0.000000e+00   	  +0.000000e+00   	  +2.367454e-04   	  +4.451234e-05   	  -5.201243e-05   	  +5.000245e-05   
5   	  -1.442369e+01   	  +4.012908e+00   	  +1.990966e+01   	  +4.454736e+00   	  +2.458531e+01   	  +4.307780e+00   	  +0.000000e+00   	  +0.000000e+00   	  +1.562074e-04   	  +4.345925e-05   	  -2.156188e-04   	  +4.824420e-05   
6   	  +2.274785e+03   	  +3.659555e+02   	  -5.556523e+02   	  +3.556727e+02   	  +2.341665e+03   	  +3.653842e+02   	  +0.000000e+00   	  +0.000000e+00   	  -2.956310e-04   	  +4.755900e-05   	  +7.221029e-05   	  +4.622265e-05   
7   	  +7.255629e+04   	  +2.488983e+04   	  +3.263568e+04   	  +1.914701e+04   	  +7.955817e+04   	  +2.401975e+04   	  +0.000000e+00   	  +0.000000e+00   	  -1.131526e-04   	  +3.881572e-05   	  -5.089563e-05   	  +2.985977e-05   
8   	  -3.748795e+05   	  +1.519032e+06   	  -1.184697e+06   	  +2.179132e+06   	  +1.242595e+06   	  +2.127540e+06   	  +0.000000e+00   	  +0.000000e+00   	  +7.016019e-06   	  +2.842717e-05   	  +2.217184e-05   	  +4.078029e-05   
9   	  +2.335847e+08   	  +2.617760e+08   	  +5.628569e+07   	  +2.384289e+08   	  +2.402704e+08   	  +2.605490e+08   	  +0.000000e+00   	  +0.000000e+00   	  -5.245166e-05   	  +5.878654e-05   	  -1.263924e-05   	  +5.354352e-05   
10  	  -6.011761e+11   	  +1.046327e+10   	  +1.637886e+10   	  +1.982003e+10   	  +6.013992e+11   	  +1.047331e+10   	  +0.000000e+00   	  +0.000000e+00   	  +1.620060e-03   	  +2.819729e-05   	  -4.413708e-05   	  +5.341135e-05   
11  	  -1.424235e+11   	  +1.517239e+12   	  -1.076873e+11   	  +1.892606e+12   	  +1.785525e+11   	  +1.663607e+12   	  +0.000000e+00   	  +0.000000e+00   	  +4.603246e-06   	  +4.906419e-05   	  +3.481644e-06   	  +6.120271e-05   
12  	  -9.971020e+11   	  +7.790974e+13   	  +6.034682e+13   	  +1.061118e+14   	  +6.035506e+13   	  +1.061051e+14   	  +0.000000e+00   	  +0.000000e+00   	  +3.847325e-07   	  +3.023316e-05   	  -2.341869e-05   	  +4.117707e-05   
13  	  -2.544205e+15   	  +7.160903e+15   	  -3.488424e+15   	  +6.511179e+15   	  +4.317648e+15   	  +6.743877e+15   	  +0.000000e+00   	  +0.000000e+00   	  +1.184995e-05   	  +3.334578e-05   	  +1.624604e-05   	  +3.032024e-05   
14  	  +1.273705e+19   	  +7.148879e+17   	  -5.568978e+17   	  +6.860883e+17   	  +1.274922e+19   	  +7.148340e+17   	  +0.000000e+00   	  +0.000000e+00   	  -7.117439e-04   	  +3.994783e-05   	  +3.111831e-05   	  +3.833843e-05   
15  	  +6.447367e+18   	  +4.936689e+19   	  -4.114154e+19   	  +7.043696e+19   	  +4.164367e+19   	  +7.000613e+19   	  +0.000000e+00   	  +0.000000e+00   	  -4.322438e-06   	  +3.310330e-05   	  +2.758663e-05   	  +4.723197e-05   

magnetic_center_x(um) 	1.717
magnetic_center_y(um) 	53.566


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
8.989387652036e-07	9.417114483767e-07	8.548273058295e-07	9.15463488127e-07	8.840943337418e-07	8.703665912435e-07	8.898520604816e-07	8.924727694648e-07	9.121254151978e-07	8.534859148313e-07
2.258774884467e-06	2.236744194306e-06	2.277781959492e-06	2.205414148193e-06	2.25718827096e-06	2.270173808938e-06	2.254529590573e-06	2.225013304269e-06	2.223447836514e-06	2.25133112508e-06
3.525416786943e-06	3.565510496628e-06	3.537314341884e-06	3.551405598046e-06	3.562123310985e-06	3.5330585888e-06	3.520425934767e-06	3.515473053994e-06	3.546333573468e-06	3.550283963705e-06
4.825013093068e-06	4.793417247129e-06	4.758841896546e-06	4.805047865375e-06	4.789656031789e-06	4.842622274737e-06	4.823760718864e-06	4.843175247515e-06	4.820754384127e-06	4.795842414751e-06
5.987648819428e-06	6.072235464671e-06	6.067524282116e-06	6.077084890421e-06	6.057160135242e-06	6.03687021794e-06	6.049996045476e-06	6.041889719199e-06	6.028447842255e-06	6.07158517596e-06
7.281861144293e-06	7.198415005405e-06	7.287131211342e-06	7.191356871772e-06	7.222779004223e-06	7.198159892141e-06	7.214055585791e-06	7.188741619757e-06	7.214344805107e-06	7.2064581218e-06
8.220217750932e-06	8.254812200903e-06	8.235533641709e-06	8.276972039312e-06	8.275427717308e-06	8.287865057355e-06	8.270005309896e-06	8.264591087936e-06	8.259205060313e-06	8.264254574897e-06
9.271387170884e-06	9.281191523769e-06	9.262450475944e-06	9.266522283724e-06	9.252386007574e-06	9.26269331103e-06	9.246160516341e-06	9.228866474587e-06	9.223778761225e-06	9.253290045308e-06
1.009880543279e-05	1.00626002677e-05	1.0106407899e-05	1.007510036288e-05	1.009769493976e-05	1.008081471809e-05	1.011814583762e-05	1.00936531453e-05	1.010336382024e-05	1.009556854115e-05
1.085674830392e-05	1.088223962142e-05	1.086385327653e-05	1.088057160814e-05	1.088418594009e-05	1.087058171834e-05	1.084565974452e-05	1.087492910301e-05	1.084980431187e-05	1.087125838239e-05
1.153446282842e-05	1.154085111921e-05	1.150201478595e-05	1.15290931717e-05	1.15046668725e-05	1.151792730525e-05	1.152107324742e-05	1.151585456682e-05	1.152097502199e-05	1.152247205027e-05
1.209695801663e-05	1.210055779666e-05	1.212583356391e-05	1.208442608913e-05	1.2120239262e-05	1.210681512021e-05	1.211179005622e-05	1.20964314192e-05	1.211272774526e-05	1.209462334373e-05
1.260666340386e-05	1.260337649001e-05	1.260287262994e-05	1.262307432626e-05	1.258850352315e-05	1.260704812012e-05	1.25848728203e-05	1.258133488591e-05	1.257750045625e-05	1.260350200027e-05
1.285232065129e-05	1.283260462515e-05	1.284441441385e-05	1.283646997763e-05	1.285836788156e-05	1.282324683416e-05	1.283257461182e-05	1.283579513256e-05	1.284864720219e-05	1.285213511437e-05
1.294601588597e-05	1.295998208661e-05	1.293854893447e-05	1.294841240451e-05	1.296586106037e-05	1.29753643705e-05	1.297817834711e-05	1.296424761676e-05	1.295855781791e-05	1.289433566853e-05
1.296706977882e-05	1.297319158766e-05	1.29744721562e-05	1.299745690631e-05	1.294245066674e-05	1.299235373153e-05	1.296043592447e-05	1.296952541452e-05	1.295559923165e-05	1.302520558966e-05
1.28811752802e-05	1.287108989345e-05	1.287637951464e-05	1.285143662244e-05	1.287663781113e-05	1.283859182877e-05	1.28674773805e-05	1.284457812289e-05	1.286815404455e-05	1.290057844017e-05
1.260193766939e-05	1.262625301024e-05	1.26040813484e-05	1.261654142581e-05	1.263614649361e-05	1.258855445485e-05	1.257880103367e-05	1.258355860045e-05	1.257516214537e-05	1.252861420653e-05
1.198737027153e-05	1.197654637508e-05	1.201353188662e-05	1.2001279174e-05	1.196386710944e-05	1.202857129101e-05	1.202432849823e-05	1.20065660667e-05	1.202173825732e-05	1.204593172588e-05
1.148330557044e-05	1.150692605734e-05	1.147120747191e-05	1.148054252553e-05	1.153236007667e-05	1.149879972218e-05	1.148726914835e-05	1.14933363875e-05	1.149012405222e-05	1.149793934019e-05
1.081139180314e-05	1.08076565084e-05	1.081363461708e-05	1.083680217562e-05	1.079077355826e-05	1.083435654436e-05	1.077843444364e-05	1.082316248358e-05	1.083936967916e-05	1.081291520677e-05
1.009862808132e-05	1.008894287224e-05	1.010074447549e-05	1.006883940136e-05	1.011286894936e-05	1.005766443996e-05	1.006672573567e-05	1.005335798254e-05	1.002980934572e-05	1.005899139273e-05
9.178885193251e-06	9.201941793435e-06	9.142094313574e-06	9.174668775813e-06	9.158938155451e-06	9.189472621074e-06	9.166214113066e-06	9.169926670438e-06	9.162120477413e-06	9.192846846418e-06
8.228420483647e-06	8.229965715145e-06	8.261377843155e-06	8.259737114713e-06	8.214444278565e-06	8.256723958766e-06	8.221771167882e-06	8.271407750726e-06	8.217886716011e-06	8.247104233305e-06
7.1891377047e-06	7.16345903129e-06	7.148991244321e-06	7.186185484898e-06	7.202486358437e-06	7.165757324401e-06	7.227566584334e-06	7.127245680749e-06	7.214542620204e-06	7.185065442172e-06
6.030545137037e-06	6.074820248614e-06	6.018072781444e-06	5.991231319058e-06	6.019956344971e-06	6.01697138336e-06	5.932660315011e-06	6.060835858079e-06	5.949863862043e-06	5.982241418678e-06
4.752077984449e-06	4.728397925646e-06	4.846744104725e-06	4.822947175853e-06	4.782943506143e-06	4.766841357196e-06	4.819249625143e-06	4.733824880532e-06	4.839525900024e-06	4.754429483e-06
3.552461976142e-06	3.546735342752e-06	3.482640522634e-06	3.502032768665e-06	3.514144054861e-06	3.556956926332e-06	3.495541250231e-06	3.538681539794e-06	3.516953029248e-06	3.547478399923e-06
2.204501242886e-06	2.243058361273e-06	2.209175363532e-06	2.256502511955e-06	2.274469579788e-06	2.234638714071e-06	2.268526941407e-06	2.232108045064e-06	2.196285322498e-06	2.251818386867e-06
9.314660474047e-07	9.28827489588e-07	9.387719615006e-07	9.043947670762e-07	8.997336067296e-07	9.131003935181e-07	9.302713692705e-07	9.425933171769e-07	9.590957006367e-07	9.10008509436e-07
-4.306856169478e-07	-4.739151506783e-07	-4.731472529329e-07	-4.093521397408e-07	-4.406263656165e-07	-4.155076567258e-07	-4.389685841488e-07	-4.352361031579e-07	-4.658116381506e-07	-4.342178669958e-07
-1.754147547217e-06	-1.716729798318e-06	-1.705925797069e-06	-1.761022417668e-06	-1.721357193674e-06	-1.765149818311e-06	-1.739149183777e-06	-1.785027052392e-06	-1.739373033161e-06	-1.730736016725e-06
-3.056429704884e-06	-3.05444427795e-06	-3.027084403584e-06	-3.01924615087e-06	-3.030520474567e-06	-3.005361804753e-06	-3.023390036105e-06	-3.050626219192e-06	-3.064311613343e-06	-3.065957798754e-06
-4.240945600031e-06	-4.295142844057e-06	-4.348527909315e-06	-4.294216068956e-06	-4.332593107392e-06	-4.339106453699e-06	-4.349310074758e-06	-4.305624315748e-06	-4.218632966513e-06	-4.276198069419e-06
-5.561058515013e-06	-5.513916676136e-06	-5.47134095541e-06	-5.543803126784e-06	-5.508291906153e-06	-5.460293778015e-06	-5.504623459274e-06	-5.498730843101e-06	-5.576880084845e-06	-5.525098913495e-06
-6.668150035694e-06	-6.654311164311e-06	-6.724967533955e-06	-6.618023235205e-06	-6.69127666697e-06	-6.701392067043e-06	-6.675154054392e-06	-6.685684638796e-06	-6.667592060694e-06	-6.665959062957e-06
-7.766439011903e-06	-7.771022865199e-06	-7.712816113781e-06	-7.799114428053e-06	-7.74380441726e-06	-7.743317837594e-06	-7.761281267449e-06	-7.745991752017e-06	-7.750367331028e-06	-7.763022040308e-06
-8.644308763905e-06	-8.622910172562e-06	-8.654628800286e-06	-8.622972018202e-06	-8.659844752401e-06	-8.656622412673e-06	-8.668006557855e-06	-8.684311978868e-06	-8.663439984957e-06	-8.6451336756e-06
-9.536151992506e-06	-9.573005627317e-06	-9.556548320688e-06	-9.543262422085e-06	-9.559586942487e-06	-9.538356607663e-06	-9.516244972474e-06	-9.512482392893e-06	-9.524347660772e-06	-9.551423318044e-06
-1.032204090734e-05	-1.031115334627e-05	-1.028890892485e-05	-1.032314503391e-05	-1.029101076711e-05	-1.030896146403e-05	-1.032372802001e-05	-1.032725231198e-05	-1.033453372656e-05	-1.032078307617e-05
-1.096116375265e-05	-1.094994422601e-05	-1.096882624552e-05	-1.094595063478e-05	-1.097871154343e-05	-1.095041443477e-05	-1.095111110772e-05	-1.095445350074e-05	-1.094218168873e-05	-1.097912445402e-05
-1.151831747848e-05	-1.153627454187e-05	-1.151868309535e-05	-1.15411266961e-05	-1.150939897343e-05	-1.152416189143e-05	-1.154251094704e-05	-1.152546246885e-05	-1.152188906417e-05	-1.15033617476e-05
-1.200313818117e-05	-1.199581583933e-05	-1.198884456244e-05	-1.198484915221e-05	-1.198495647259e-05	-1.199287817144e-05	-1.199366579385e-05	-1.201742816193e-05	-1.200862061523e-05	-1.200762835651e-05
-1.233580496773e-05	-1.231836267834e-05	-1.234546016349e-05	-1.232906652149e-05	-1.235123090737e-05	-1.231968053617e-05	-1.233933107869e-05	-1.229943427461e-05	-1.230356338056e-05	-1.231190708495e-05
-1.235951185663e-05	-1.239070024894e-05	-1.236544903804e-05	-1.237538526766e-05	-1.235648232978e-05	-1.238888944499e-05	-1.237975448021e-05	-1.241825066245e-05	-1.239533594344e-05	-1.238165896211e-05
-1.240366054844e-05	-1.239805078512e-05	-1.239152970811e-05	-1.239899302163e-05	-1.241727477463e-05	-1.241921290784e-05	-1.241712379851e-05	-1.239813536813e-05	-1.241311019839e-05	-1.240607343789e-05
-1.231315309269e-05	-1.230418456544e-05	-1.232339673152e-05	-1.231672922586e-05	-1.230550788023e-05	-1.227257962455e-05	-1.227174379892e-05	-1.228723613167e-05	-1.229141525982e-05	-1.227795928571e-05
-1.201197665068e-05	-1.200340375362e-05	-1.199093185278e-05	-1.198227073473e-05	-1.202489238494e-05	-1.201917075377e-05	-1.200388032885e-05	-1.203582633025e-05	-1.199000962515e-05	-1.204659929499e-05
-1.152224558609e-05	-1.15331968118e-05	-1.153977791546e-05	-1.155736390501e-05	-1.153016273747e-05	-1.15282873594e-05	-1.157349561254e-05	-1.15419161375e-05	-1.155996960733e-05	-1.15188977361e-05
-1.092491675081e-05	-1.094676827051e-05	-1.093969422072e-05	-1.093566061172e-05	-1.089818579203e-05	-1.094553226721e-05	-1.090803834813e-05	-1.089090437745e-05	-1.092513957701e-05	-1.092089769372e-05
