########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	4720
file                           	Q20-064_Q_BOA_030.0A_180510_104709.dat
date                           	10/05/2018
hour                           	10:47:09
operator                       	Lucas Balthazar
software_version               	v3.3
bench                          	1
temperature(C)                 	23.53
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+2.999530e+01
main_coil_current_std(A)       	+4.701623e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_08-05-2018_r=13mm_Q20
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282809
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +3.614815e-05   	  +2.693050e-07   	  +1.497818e-05   	  +2.444465e-07   	  +3.912843e-05   	  +2.658079e-07   	  +0.000000e+00   	  +0.000000e+00   	  -1.698463e-03   	  +1.265362e-05   	  -7.037670e-04   	  +1.148561e-05   
2   	  -1.773572e+00   	  +1.571123e-05   	  +1.826206e-04   	  +1.555239e-05   	  +1.773572e+00   	  +1.571123e-05   	  -5.148385e-05   	  +4.384483e-06   	  +1.000000e+00   	  +1.252784e-05   	  -1.029677e-04   	  +8.768967e-06   
3   	  -1.215852e-02   	  +8.166933e-04   	  -2.004067e-02   	  +1.186925e-03   	  +2.344052e-02   	  +1.099642e-03   	  +0.000000e+00   	  +0.000000e+00   	  +8.226460e-05   	  +5.525753e-06   	  +1.355953e-04   	  +8.030743e-06   
4   	  -1.742442e+00   	  +1.627750e-01   	  +6.065248e-01   	  +1.554211e-01   	  +1.844987e+00   	  +1.619963e-01   	  +0.000000e+00   	  +0.000000e+00   	  +1.414725e-04   	  +1.321604e-05   	  -4.924496e-05   	  +1.261896e-05   
5   	  -1.116512e+01   	  +1.111356e+01   	  +1.628697e+01   	  +1.087932e+01   	  +1.974653e+01   	  +1.095475e+01   	  +0.000000e+00   	  +0.000000e+00   	  +1.087826e-05   	  +1.082799e-05   	  -1.586852e-05   	  +1.059978e-05   
6   	  +7.143178e+04   	  +4.228939e+02   	  -1.074449e+04   	  +1.197444e+03   	  +7.223534e+04   	  +4.545395e+02   	  +0.000000e+00   	  +0.000000e+00   	  -8.351562e-04   	  +4.944337e-06   	  +1.256209e-04   	  +1.400010e-05   
7   	  -1.319937e+05   	  +7.138941e+04   	  +7.311832e+03   	  +8.485466e+04   	  +1.321961e+05   	  +7.143448e+04   	  +0.000000e+00   	  +0.000000e+00   	  +1.851875e-05   	  +1.001593e-05   	  -1.025864e-06   	  +1.190510e-05   
8   	  +9.085198e+06   	  +9.940770e+06   	  +2.170594e+06   	  +6.593815e+06   	  +9.340895e+06   	  +9.789312e+06   	  +0.000000e+00   	  +0.000000e+00   	  -1.529579e-05   	  +1.673627e-05   	  -3.654457e-06   	  +1.110134e-05   
9   	  +8.602225e+08   	  +6.152112e+08   	  -3.499969e+08   	  +5.414089e+08   	  +9.286983e+08   	  +6.052777e+08   	  +0.000000e+00   	  +0.000000e+00   	  -1.737927e-05   	  +1.242923e-05   	  +7.071112e-06   	  +1.093819e-05   
10  	  -6.923971e+12   	  +4.772810e+10   	  +3.798213e+11   	  +4.362538e+10   	  +6.934381e+12   	  +4.771632e+10   	  +0.000000e+00   	  +0.000000e+00   	  +1.678636e-03   	  +1.157113e-05   	  -9.208318e-05   	  +1.057646e-05   
11  	  +5.094311e+12   	  +3.855814e+12   	  +1.663572e+12   	  +2.586679e+12   	  +5.359056e+12   	  +3.752253e+12   	  +0.000000e+00   	  +0.000000e+00   	  -1.482072e-05   	  +1.121756e-05   	  -4.839722e-06   	  +7.525319e-06   
12  	  -2.430675e+14   	  +5.649022e+14   	  -1.136784e+14   	  +3.158578e+14   	  +2.683367e+14   	  +5.289118e+14   	  +0.000000e+00   	  +0.000000e+00   	  +8.485738e-06   	  +1.972136e-05   	  +3.968709e-06   	  +1.102695e-05   
13  	  -1.907381e+16   	  +3.106004e+16   	  +2.633965e+16   	  +3.322857e+16   	  +3.252057e+16   	  +3.249893e+16   	  +0.000000e+00   	  +0.000000e+00   	  +7.990675e-06   	  +1.301209e-05   	  -1.103463e-05   	  +1.392056e-05   
14  	  +1.397490e+20   	  +2.447631e+18   	  -1.028562e+19   	  +2.353304e+18   	  +1.401270e+20   	  +2.447132e+18   	  +0.000000e+00   	  +0.000000e+00   	  -7.025463e-04   	  +1.230473e-05   	  +5.170789e-05   	  +1.183053e-05   
15  	  -2.577141e+20   	  +2.225217e+20   	  -5.392555e+19   	  +1.570123e+20   	  +2.632955e+20   	  +2.201658e+20   	  +0.000000e+00   	  +0.000000e+00   	  +1.554701e-05   	  +1.342393e-05   	  +3.253110e-06   	  +9.471989e-06   

magnetic_center_x(um) 	20.382
magnetic_center_y(um) 	8.445


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
7.551633643743e-06	7.525406999775e-06	7.622350494785e-06	7.597513558721e-06	7.560208814539e-06	7.640184776392e-06	7.746144547127e-06	7.668806574657e-06	7.603634912812e-06	7.63822299632e-06
2.236932232336e-05	2.234230487375e-05	2.225596654171e-05	2.226545439044e-05	2.231554753962e-05	2.210833372374e-05	2.211255377915e-05	2.216612483608e-05	2.211738319602e-05	2.226612195955e-05
3.68572291336e-05	3.687965727295e-05	3.684331022669e-05	3.675605694298e-05	3.681187445181e-05	3.692198151839e-05	3.683555405587e-05	3.695049963426e-05	3.688813740155e-05	3.68774853996e-05
5.091258935863e-05	5.083748692414e-05	5.100996713736e-05	5.114462328493e-05	5.104393494548e-05	5.100369889988e-05	5.105678064865e-05	5.095328015159e-05	5.09875753778e-05	5.087748650112e-05
6.46505941404e-05	6.467801722465e-05	6.44948813715e-05	6.449025386246e-05	6.444830069086e-05	6.459408905357e-05	6.448807107517e-05	6.457020208472e-05	6.464452599175e-05	6.469055369962e-05
7.737692067167e-05	7.737438136246e-05	7.749836368021e-05	7.746804476483e-05	7.750342047075e-05	7.732522499282e-05	7.757496496197e-05	7.741394074401e-05	7.736278348602e-05	7.738705608062e-05
8.908662857721e-05	8.908889140002e-05	8.911278564483e-05	8.911102486309e-05	8.907609299058e-05	8.916993101593e-05	8.903912384994e-05	8.913554484025e-05	8.911012264434e-05	8.903196430765e-05
0.0001001308046398	0.0001001789350994	0.0001001221316983	0.0001001120763249	0.0001001535420073	0.0001000815391308	9.991088882089e-05	0.0001001657074085	0.000100133860542	0.0001001868367894
0.0001094881663448	0.0001093830214813	0.0001093682731153	0.0001093889295589	0.0001094138424378	0.0001095305633498	0.0001096719279303	0.000109349428385	0.0001093729806598	0.0001094494364224
0.0001179943137686	0.0001180140388897	0.0001180983381346	0.0001180612671305	0.0001180523249786	0.0001179537721328	0.0001180337858386	0.0001180640610983	0.0001180987092084	0.0001179859464173
0.000125333404867	0.00012542559125	0.0001253665832337	0.0001254063099623	0.0001253692607861	0.0001253559894394	0.0001252139481949	0.0001253813679796	0.0001254042872461	0.0001253938971786
0.0001319743896602	0.0001319223374594	0.0001318734284723	0.0001318324357271	0.000131969267386	0.0001319756556768	0.0001320091105299	0.000131946260808	0.0001317713904427	0.0001319232978858
0.0001375208375975	0.000137463081046	0.000137505310704	0.000137564187753	0.0001374372222926	0.0001374829589622	0.0001375434512738	0.0001374321145704	0.0001375959982397	0.0001375163992634
0.0001401677000104	0.000140219941386	0.0001402686029905	0.0001403061905876	0.000140226460644	0.0001402230700478	0.0001401383779012	0.0001403071801178	0.0001402403140673	0.0001402333436999
0.0001414930156898	0.0001414901344106	0.0001414354192093	0.0001413222780684	0.0001415284059476	0.0001416295272065	0.0001414210128132	0.0001414467260474	0.0001413970603608	0.0001414932048647
0.0001419875479769	0.0001420638582204	0.0001419456966687	0.000142081422382	0.0001420019107172	0.0001419194741175	0.0001420111657353	0.0001418853353243	0.0001417348830728	0.0001417281891918
0.0001408022508258	0.0001407812524121	0.0001408442185493	0.0001408759999322	0.0001408428215655	0.0001405704242643	0.0001409296964994	0.0001410032418789	0.0001413155405317	0.0001410193508491
0.0001372391707264	0.0001370724057779	0.0001371736289002	0.0001370725076413	0.0001371655089315	0.0001372462429572	0.0001371418329654	0.0001371317630401	0.0001371043035761	0.0001372676924802
0.0001315227418672	0.0001316084526479	0.0001315309782512	0.0001315995759796	0.0001315283880103	0.0001319238508586	0.0001315840199823	0.0001315215195064	0.0001315482950304	0.0001315198023804
0.0001254824892385	0.0001256722753169	0.0001255409879377	0.0001257041585632	0.0001256710820599	0.0001253368536709	0.000125488761114	0.0001256473915419	0.0001254424278159	0.0001254357193829
0.0001180518374895	0.0001178063757834	0.0001180698454846	0.0001177913727588	0.0001178227248602	0.0001177496014861	0.0001179146711365	0.0001178375678137	0.0001179887185572	0.0001180271865451
0.0001094668332371	0.0001094950275728	0.0001093419195968	0.0001094759354601	0.0001094640101655	0.0001097030763049	0.0001095068364521	0.0001095115003409	0.000109517313831	0.0001094298932003
9.949739614967e-05	9.961467731046e-05	9.966684592655e-05	9.960847091861e-05	9.964347555069e-05	9.96447270154e-05	9.964431228582e-05	9.961640171241e-05	9.959474846255e-05	9.954824054148e-05
8.915516082197e-05	8.9230343292e-05	8.915316720959e-05	8.924454596126e-05	8.913402416511e-05	8.89513612492e-05	8.907828305382e-05	8.924752182793e-05	8.911440090742e-05	8.917846571421e-05
7.762946916046e-05	7.738389831502e-05	7.742008892819e-05	7.742574234726e-05	7.750189251965e-05	7.760643347865e-05	7.76451852289e-05	7.73458959884e-05	7.737986015854e-05	7.749883661745e-05
6.416306132451e-05	6.415025563911e-05	6.423098966479e-05	6.424036837416e-05	6.408486660803e-05	6.413213122869e-05	6.403266161215e-05	6.425126048271e-05	6.432305963244e-05	6.428473716369e-05
5.063516437076e-05	5.080965274828e-05	5.071689884062e-05	5.069713006378e-05	5.087011959404e-05	5.076612069388e-05	5.07915392518e-05	5.074456566945e-05	5.076686647953e-05	5.066879020887e-05
3.662156086648e-05	3.660888614831e-05	3.664034011308e-05	3.665981421364e-05	3.656595072243e-05	3.670159276226e-05	3.660441507236e-05	3.657518755062e-05	3.652481609606e-05	3.662371454993e-05
2.22906255658e-05	2.230774771306e-05	2.222303010058e-05	2.219205998699e-05	2.23277729674e-05	2.203772237408e-05	2.222179864475e-05	2.227411278e-05	2.22523285629e-05	2.215841595898e-05
7.652238309674e-06	7.466237093467e-06	7.52370669943e-06	7.569366971438e-06	7.437826752721e-06	7.721163456154e-06	7.607691713929e-06	7.505811481678e-06	7.560379799543e-06	7.669363185414e-06
-7.575189101772e-06	-7.427835498675e-06	-7.370148978225e-06	-7.492939403164e-06	-7.375343557214e-06	-7.549357178505e-06	-7.559093774034e-06	-7.39823008189e-06	-7.395402008115e-06	-7.400634331134e-06
-2.225417847512e-05	-2.225453681604e-05	-2.227798177046e-05	-2.211554601672e-05	-2.231120379292e-05	-2.217123437731e-05	-2.216281063738e-05	-2.222146213171e-05	-2.221811882919e-05	-2.228811717941e-05
-3.647643461591e-05	-3.64985462511e-05	-3.652429586509e-05	-3.664518226287e-05	-3.645018296083e-05	-3.665663825814e-05	-3.651593578979e-05	-3.654651300167e-05	-3.661147275125e-05	-3.669400393846e-05
