########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	6630
file                           	Q20-116_Q_BOA_130.0A_180522_165824.dat
date                           	22/05/2018
hour                           	16:58:24
operator                       	Lucas Balthazar
software_version               	v3.3
bench                          	1
temperature(C)                 	23.09
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.299959e+02
main_coil_current_std(A)       	+5.525063e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_21-05-2018_r=13mm_Q20
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282755
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +3.271079e-05   	  +3.381378e-07   	  -2.021396e-05   	  +5.598736e-07   	  +3.845257e-05   	  +4.115379e-07   	  +0.000000e+00   	  +0.000000e+00   	  -3.577571e-04   	  +3.698205e-06   	  +2.210795e-04   	  +6.123324e-06   
2   	  -7.619413e+00   	  +1.732905e-05   	  -1.175977e-03   	  +3.310080e-05   	  +7.619413e+00   	  +1.732905e-05   	  +7.716978e-05   	  +2.172136e-06   	  +1.000000e+00   	  +3.216387e-06   	  +1.543396e-04   	  +4.344272e-06   
3   	  -2.015947e-01   	  +9.219342e-04   	  -4.460022e-02   	  +3.305782e-03   	  +2.064694e-01   	  +1.149014e-03   	  +0.000000e+00   	  +0.000000e+00   	  +3.174964e-04   	  +1.451977e-06   	  +7.024196e-05   	  +5.206357e-06   
4   	  -5.353425e+00   	  +1.723432e-01   	  +2.519506e+00   	  +2.267475e-01   	  +5.916677e+00   	  +1.834102e-01   	  +0.000000e+00   	  +0.000000e+00   	  +1.011749e-04   	  +3.257130e-06   	  -4.761638e-05   	  +4.285323e-06   
5   	  -8.989442e+01   	  +1.221685e+01   	  +1.533338e+02   	  +1.347681e+01   	  +1.777421e+02   	  +1.316601e+01   	  +0.000000e+00   	  +0.000000e+00   	  +2.038708e-05   	  +2.770648e-06   	  -3.477444e-05   	  +3.056394e-06   
6   	  +3.066199e+05   	  +7.727948e+02   	  -2.181259e+04   	  +1.564517e+03   	  +3.073948e+05   	  +7.788000e+02   	  +0.000000e+00   	  +0.000000e+00   	  -8.344566e-04   	  +2.103138e-06   	  +5.936230e-05   	  +4.257784e-06   
7   	  +7.289167e+04   	  +6.927014e+04   	  -1.719736e+05   	  +1.053621e+05   	  +1.867836e+05   	  +1.007040e+05   	  +0.000000e+00   	  +0.000000e+00   	  -2.380471e-06   	  +2.262199e-06   	  +5.616247e-06   	  +3.440876e-06   
8   	  -1.983883e+06   	  +8.937243e+06   	  +1.574847e+06   	  +9.047855e+06   	  +2.532970e+06   	  +8.980163e+06   	  +0.000000e+00   	  +0.000000e+00   	  +7.774659e-07   	  +3.502430e-06   	  -6.171707e-07   	  +3.545778e-06   
9   	  +1.617515e+09   	  +5.573590e+08   	  -8.423155e+08   	  +1.130709e+09   	  +1.823691e+09   	  +7.191098e+08   	  +0.000000e+00   	  +0.000000e+00   	  -7.606684e-06   	  +2.621092e-06   	  +3.961155e-06   	  +5.317384e-06   
10  	  -2.959336e+13   	  +6.254504e+10   	  +5.125663e+11   	  +6.139354e+10   	  +2.959780e+13   	  +6.254469e+10   	  +0.000000e+00   	  +0.000000e+00   	  +1.670024e-03   	  +3.529568e-06   	  -2.892535e-05   	  +3.464584e-06   
11  	  -2.495879e+11   	  +4.525185e+12   	  -6.002009e+11   	  +6.555331e+12   	  +6.500271e+11   	  +6.297296e+12   	  +0.000000e+00   	  +0.000000e+00   	  +1.690171e-07   	  +3.064404e-06   	  +4.064468e-07   	  +4.439196e-06   
12  	  +2.368812e+14   	  +5.960781e+14   	  -7.186846e+14   	  +4.019013e+14   	  +7.567167e+14   	  +4.248696e+14   	  +0.000000e+00   	  +0.000000e+00   	  -1.924953e-06   	  +4.843888e-06   	  +5.840218e-06   	  +3.265956e-06   
13  	  -3.649777e+16   	  +2.256600e+16   	  +4.166737e+15   	  +3.480562e+16   	  +3.673485e+16   	  +2.276530e+16   	  +0.000000e+00   	  +0.000000e+00   	  +3.559087e-06   	  +2.200527e-06   	  -4.063228e-07   	  +3.394076e-06   
14  	  +6.013434e+20   	  +2.202465e+18   	  -2.165051e+18   	  +3.553342e+18   	  +6.013473e+20   	  +2.202488e+18   	  +0.000000e+00   	  +0.000000e+00   	  -7.036812e-04   	  +2.577285e-06   	  +2.533501e-06   	  +4.158057e-06   
15  	  +1.460634e+20   	  +1.562698e+20   	  +1.977583e+20   	  +1.715821e+20   	  +2.458513e+20   	  +1.663384e+20   	  +0.000000e+00   	  +0.000000e+00   	  -2.051048e-06   	  +2.194369e-06   	  -2.776962e-06   	  +2.409388e-06   

magnetic_center_x(um) 	-4.293
magnetic_center_y(um) 	2.653


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
3.244386607548e-05	3.241916783736e-05	3.24023385474e-05	3.244167601224e-05	3.262985774199e-05	3.23810345435e-05	3.248230859754e-05	3.225039836252e-05	3.271442619734e-05	3.233189272578e-05
9.52040500124e-05	9.539188613417e-05	9.541746840114e-05	9.532233525533e-05	9.531594696455e-05	9.534371929476e-05	9.538487211103e-05	9.549250535201e-05	9.536449215375e-05	9.537046571495e-05
0.0001583249104442	0.0001582579716342	0.0001581390824867	0.0001581828546477	0.0001582729892107	0.0001582668337505	0.0001581491815159	0.0001582345284987	0.000158064882271	0.0001582869881531
0.0002187687496189	0.0002190352242906	0.0002191981184296	0.0002190787781728	0.0002190062659793	0.0002189190126956	0.0002189413498854	0.0002190390514443	0.0002191529492848	0.0002188501821365
0.0002775048196781	0.0002772244333755	0.0002771122090053	0.0002772107545752	0.0002770608698484	0.0002773031592369	0.0002773466112558	0.0002771726285573	0.0002771032741293	0.0002773442247417
0.0003324962744955	0.0003324148419779	0.0003324196150061	0.0003323924611323	0.0003325240395498	0.0003325059078634	0.0003324983990751	0.000332504423568	0.0003326232836116	0.0003326506703161
0.0003828090557363	0.0003829872002825	0.0003831045178231	0.0003829606575891	0.0003829615598079	0.0003829666238744	0.0003829071065411	0.0003829978231806	0.0003829784691334	0.0003827087348327
0.000430303014582	0.0004302765009925	0.0004300515865907	0.0004302890738472	0.0004303020250518	0.0004301647422835	0.0004302670131437	0.0004301610752009	0.000430062355008	0.0004302409361117
0.0004702896985691	0.0004703572485596	0.0004703393206	0.0004702849546447	0.0004703346348833	0.0004704348102678	0.0004703150771093	0.0004704243619926	0.0004704096645582	0.0004705064638983
0.0005070113693364	0.0005070311017334	0.0005071039195172	0.000507049029693	0.0005069806938991	0.0005069255712442	0.0005071462946944	0.0005070969345979	0.0005070404731669	0.0005068831960671
0.00053866248345	0.0005386840202846	0.0005387336132117	0.0005385344848037	0.0005388279096223	0.000538750726264	0.0005385885597207	0.0005385153926909	0.0005387225537561	0.0005387958372012
0.0005671018152498	0.000567146926187	0.0005667699733749	0.0005672110710293	0.0005668934318237	0.0005671315593645	0.0005670748068951	0.0005671282997355	0.0005671705002896	0.0005669434904121
0.000590997398831	0.0005908447201364	0.0005911948974244	0.0005910239415243	0.0005910897743888	0.000590963405557	0.0005910318577662	0.0005911022890359	0.0005908021703362	0.0005911794723943
0.0006028423667885	0.0006028878851794	0.0006030377699062	0.0006026863120496	0.0006027847412042	0.0006027696072124	0.0006025746115483	0.000602750282269	0.0006029036012478	0.0006026774644852
0.0006088542286307	0.0006086985813454	0.0006084617925808	0.0006087029469199	0.0006088309455663	0.0006087080109864	0.0006090103997849	0.0006086659268476	0.0006087230867706	0.0006086474750191
0.0006089321686886	0.0006091700051911	0.0006095839780755	0.0006096515571699	0.0006092550465837	0.0006093027768657	0.0006091048708186	0.000609545444604	0.0006094988784753	0.0006096190772951
0.0006047775386833	0.0006048157229088	0.0006046135094948	0.0006045029731467	0.000604770553764	0.0006048899958842	0.0006047926144674	0.0006046409253031	0.0006047456990927	0.0006045904592611
0.000589661882259	0.0005895328940824	0.0005893820780329	0.000589128874708	0.0005896061193198	0.0005892688059248	0.0005895512294956	0.0005894189234823	0.0005893231718801	0.0005891816690564
0.0005652552936226	0.0005653196130879	0.0005653589614667	0.0005658977315761	0.0005650066887029	0.0005653451080434	0.00056547683198	0.0005652645486407	0.000565561465919	0.0005657976143993
0.0005398182547651	0.0005398639477789	0.0005395124899223	0.0005397319910116	0.0005398050998338	0.0005399088840932	0.0005395103362389	0.0005396011983976	0.0005394208128564	0.0005397734930739
0.0005061854608357	0.0005062143900432	0.0005062998970971	0.0005057724192739	0.0005063968128525	0.0005059887189418	0.0005063579883426	0.0005064946599305	0.0005062352865934	0.0005057364469394
0.0004696516843978	0.0004695644893218	0.000469935068395	0.0004698951379396	0.0004696155956481	0.0004697629483417	0.0004698583798017	0.000469580932986	0.0004697958356701	0.000470007682452
0.0004284407768864	0.000428547966294	0.0004282874579076	0.0004286090843379	0.0004285128670745	0.000428741943324	0.0004282078880351	0.0004285216855351	0.000428691651905	0.0004285503528081
0.0003828543412965	0.0003827765758615	0.0003828649932984	0.0003826694155578	0.0003827991604339	0.0003825143794529	0.0003828626940958	0.0003828796034213	0.0003827276232187	0.0003826094907708
0.0003323758428451	0.0003322499687783	0.0003320937976241	0.0003322233678773	0.0003320664982311	0.0003321756666992	0.000332246243488	0.0003320060495753	0.0003319144016132	0.0003322884440422
0.0002755463938229	0.0002757982874755	0.0002757677866612	0.000275684898952	0.0002758408372756	0.0002759135968518	0.0002756960166153	0.000275914586382	0.0002759320777841	0.0002755939785857
0.000217645560042	0.0002175414119847	0.0002178380818805	0.0002176877314923	0.0002177818387281	0.0002175757981604	0.0002178159338655	0.0002177207061322	0.0002176901471103	0.0002177438436775
0.0001571350439917	0.0001570956374053	0.0001568750740262	0.0001570715539856	0.0001570791209815	0.0001571884058649	0.0001569362793816	0.0001569318410475	0.0001571498869453	0.0001570527238073
9.504229092272e-05	9.516159479972e-05	9.51160909608e-05	9.508762013866e-05	9.510040399618e-05	9.505076741334e-05	9.508971561445e-05	9.513489203528e-05	9.505481284577e-05	9.51669717324e-05
3.197793921572e-05	3.182529690093e-05	3.191763244104e-05	3.183561057085e-05	3.173221557518e-05	3.171159187332e-05	3.184855449945e-05	3.188785922248e-05	3.165055750287e-05	3.185726018273e-05
-3.231310620322e-05	-3.215754259145e-05	-3.223845124012e-05	-3.218562778784e-05	-3.209063288523e-05	-3.19512146234e-05	-3.225151158404e-05	-3.214611570002e-05	-3.197174009983e-05	-3.229231151636e-05
-9.612290159566e-05	-9.610503911972e-05	-9.597048483556e-05	-9.596520249033e-05	-9.591080743121e-05	-9.611455607228e-05	-9.58870004979e-05	-9.607637184672e-05	-9.603819489712e-05	-9.593625145499e-05
-0.000157361238962	-0.0001575195055921	-0.0001575098722242	-0.0001576531503815	-0.0001576197246322	-0.0001577210787218	-0.0001575756905368	-0.000157610847964	-0.0001576481881784	-0.0001575355126988
-0.0002180846931878	-0.0002179992443416	-0.0002180481533287	-0.0002179692237405	-0.0002180526498705	-0.0002178000431741	-0.0002180279116146	-0.0002179512666771	-0.0002179649891332	-0.0002180509181926
